Gruppenname;GruppennameLang
EB: Peiler;Peiler
EB: Pettenkofer;Pettenkofer
EB: Podjaski;Artgerecht
EB: Pohl;Klimaliste
EB: Poss;Poss4SB
EB: Przybylski;Seelenwärmer
EB: Queck;QUECK
EB: Rapps;Internationalistische Liste
EB: Rehbein;REHBEIN
EB: Reichel;REICHEL
EB: Ressdorf;Volk ins Parlament - VIP
EB: Richter_1;Jugend-Narrativ
EB: Richter_2;Daniel Richter
EB: Ringger;Wadenbeißer
EB: Roensch;Deas
EB: Rohne;Einzelbewerber Rohne
EB: Roloff;EINFACH MACHEN
EB: Rosenbaum;BIBS
EB: Ryssel;Parteifreier Direktkandidat WK 226
EB: Röhder;Röhder
EB: Saygili;Saygili
EB: Sayn;Klimaliste
EB: Schlippenbach;PARTEILOS - FÜR MEHR DIREKTE DEMOKRATIE
EB: Schlossbauer;CSB Carsten Schlossbauer
EB: Schlot;Prof. Dr. med. Udo Schlot
EB: Schlüter_1;Einzelkandidat Schlüter
EB: Schlüter_2;Internationalistisches Bündnis
EB: Schmidt;Internationalistisches Bündnis
EB: Schmitt;Schmitt Wiesloch
EB: Schwang;Internationalistisches Bündnis
EB: Schäuble-Leopold;Internationalistisches Bündnis
EB: Schöllner;DK Schöllner
EB: Schöne;Klimaliste
EB: Schürer;Unparteilich
EB: Schütz;Wirtschaftlich-Ökologisch-Familienfreundlich
EB: Seiffert;Klimaliste
EB: Sirin;Ediz Sirin
EB: Snelinski;Parteifrei in den Bundestag
EB: Sommerfeldt;Mehr Vernunft
EB: Sonnabend;Bedingungsloses Grundeinkommen
EB: Stachowiak;Klimaliste Darmstadt-Dieburg
EB: Stein;Internationalistisches Bündnis
EB: Teßmann;Teßmann
EB: Tolzin;Nie wieder sinnlose Lockdowns!
EB: Trojanowski;Unsere Zukunftsperspektive für Digitalisierung, Bildung und Umwelt
EB: Tropp;Wir! Gemeinsam stark
EB: Vogler;Südpfalz - stellt Fragen!
EB: Vollmer;Klimaliste
EB: Voß;Direkt - bürgerschaftlich - unabhängig
EB: Wassenaar;UN-Menschenrecht auf Frieden
EB: Weich;Weich - parteilos
EB: Weidemann;Internationalistisches Bündnis
EB: Wendt;FriGGa Wendt, Grundeinkommen-für-alle.org
EB: Wetklo;Bürgerstimme
EB: Wieczorek;Einzelbewerber Wieczorek
EB: Wiesenthal;Klimaschutz
EB: Wittner;Klimaliste
EB: Wolter;DEMOKRATIE FAIR UND DIREKT
EB: Zajonc;Internationalistisches Bündnis
EB: Zebian;Zebian, Ayman
