PersonID;Year;PartyListID;Listenplatz;PreviouslyElected
548;2021;308.0;13;False
549;2021;111.0;4;False
552;2021;6.0;47;False
553;2021;144.0;17;False
554;2021;149.0;11;False
555;2021;232.0;19;False
556;2021;258.0;15;False
563;2021;55.0;3;True
564;2021;182.0;5;False
566;2021;124.0;31;False
568;2021;3.0;65;False
570;2021;5.0;40;False
571;2021;125.0;11;False
572;2021;321.0;1;False
574;2021;314.0;10;False
576;2021;199.0;10;False
577;2021;219.0;3;False
578;2021;2.0;70;False
579;2021;22.0;12;False
580;2021;127.0;28;False
581;2021;349.0;5;False
586;2021;330.0;1;False
589;2021;98.0;18;False
592;2021;256.0;14;False
595;2021;98.0;27;False
605;2021;130.0;10;False
606;2021;90.0;10;False
610;2021;197.0;2;False
612;2021;186.0;4;False
613;2021;159.0;14;False
616;2021;21.0;38;False
617;2021;3.0;30;False
618;2021;331.0;5;False
621;2021;5.0;39;False
622;2021;238.0;4;False
624;2021;256.0;7;False
625;2021;21.0;16;False
628;2021;15.0;34;False
629;2021;199.0;21;False
631;2021;298.0;9;False
633;2021;160.0;2;False
634;2021;161.0;11;False
636;2021;156.0;3;False
638;2021;122.0;15;False
640;2021;143.0;3;False
642;2021;4.0;45;False
643;2021;124.0;12;False
644;2021;301.0;2;False
648;2021;216.0;5;False
650;2021;268.0;11;False
656;2021;21.0;31;False
658;2021;114.0;11;False
659;2021;5.0;56;False
660;2021;110.0;8;False
661;2021;301.0;4;False
662;2021;2.0;75;False
664;2021;68.0;10;False
665;2021;314.0;9;False
667;2021;222.0;5;False
668;2021;217.0;4;False
671;2021;48.0;12;False
675;2021;3.0;89;False
677;2021;341.0;6;False
679;2021;127.0;44;False
684;2021;25.0;12;False
685;2021;201.0;20;False
687;2021;70.0;29;False
692;2021;133.0;16;False
695;2021;71.0;53;False
696;2021;131.0;7;False
697;2021;159.0;2;False
698;2021;3.0;82;False
699;2021;85.0;15;False
700;2021;268.0;8;False
703;2021;55.0;21;False
708;2021;114.0;8;False
711;2021;203.0;9;False
714;2021;144.0;13;False
723;2021;43.0;11;False
724;2021;125.0;13;False
725;2021;231.0;23;False
727;2021;243.0;20;False
728;2021;114.0;5;False
729;2021;291.0;18;False
730;2021;13.0;31;False
732;2021;197.0;6;False
734;2021;78.0;28;False
735;2021;127.0;10;False
736;2021;131.0;4;False
738;2021;119.0;7;False
739;2021;117.0;8;False
740;2021;98.0;26;False
741;2021;9.0;44;False
742;2021;248.0;3;False
743;2021;216.0;14;False
744;2021;304.0;2;False
745;2021;71.0;21;False
746;2021;161.0;15;False
749;2021;71.0;69;False
750;2021;278.0;3;False
752;2021;320.0;3;False
755;2021;98.0;31;False
761;2021;162.0;3;False
762;2021;211.0;11;False
763;2021;124.0;29;False
766;2021;308.0;5;False
768;2021;265.0;3;False
769;2021;199.0;5;False
770;2021;264.0;23;False
772;2021;316.0;3;False
773;2021;18.0;34;False
774;2021;71.0;24;False
777;2021;276.0;4;False
779;2021;118.0;13;False
780;2021;145.0;13;False
782;2021;38.0;7;False
783;2021;25.0;14;False
786;2021;266.0;5;False
791;2021;111.0;5;False
794;2021;127.0;45;False
797;2021;124.0;2;False
