BridgeID;ValidFirst;ValidSecond;PartyFirstVotes;FirstDiff
469;151167.0;151386.0;151163.0;-4.0
470;164394.0;164676.0;164414.0;20.0
471;176938.0;177248.0;176942.0;4.0
472;173497.0;173678.0;173496.0;-1.0
473;145304.0;145627.0;145303.0;-1.0
476;181064.0;181581.0;181061.0;-3.0
477;146762.0;147209.0;146760.0;-2.0
478;141899.0;142260.0;141895.0;-4.0
479;164564.0;164857.0;164553.0;-11.0
480;158632.0;159020.0;158634.0;2.0
481;190065.0;190432.0;190210.0;145.0
482;138998.0;139427.0;138999.0;1.0
483;172527.0;172965.0;172518.0;-9.0
484;201261.0;201735.0;201260.0;-1.0
485;192624.0;193214.0;192632.0;8.0
486;163201.0;163647.0;163208.0;7.0
487;164518.0;164713.0;164517.0;-1.0
488;158649.0;158708.0;158648.0;-1.0
489;160088.0;160281.0;160097.0;9.0
490;146632.0;146828.0;146626.0;-6.0
491;174867.0;174845.0;174862.0;-5.0
495;192393.0;193104.0;192390.0;-3.0
496;157949.0;158688.0;157953.0;4.0
498;140185.0;141223.0;140182.0;-3.0
499;144936.0;145454.0;144937.0;1.0
500;132975.0;133616.0;132974.0;-1.0
501;155299.0;155809.0;155416.0;117.0
502;172324.0;173116.0;172314.0;-10.0
503;212692.0;213233.0;212687.0;-5.0
505;161031.0;161666.0;161025.0;-6.0
506;180422.0;180883.0;180471.0;49.0
507;176885.0;177647.0;176882.0;-3.0
509;178186.0;178579.0;178187.0;1.0
510;136967.0;137250.0;136968.0;1.0
513;198599.0;198897.0;198597.0;-2.0
514;195087.0;195341.0;195080.0;-7.0
515;184655.0;185147.0;184738.0;83.0
516;204003.0;204493.0;203716.0;-287.0
517;180632.0;180809.0;180404.0;-228.0
518;208136.0;210467.0;208016.0;-120.0
519;204769.0;205109.0;204759.0;-10.0
520;200689.0;200985.0;200615.0;-74.0
521;141146.0;141402.0;141150.0;4.0
522;187546.0;187763.0;187493.0;-53.0
523;171750.0;172024.0;171754.0;4.0
524;142916.0;143330.0;142914.0;-2.0
525;134810.0;135137.0;134908.0;98.0
526;207304.0;207547.0;207390.0;86.0
527;143520.0;143712.0;143530.0;10.0
528;142070.0;142326.0;142066.0;-4.0
531;211967.0;212143.0;211668.0;-299.0
532;184150.0;184511.0;184149.0;-1.0
533;136146.0;136363.0;136144.0;-2.0
534;154868.0;155058.0;154857.0;-11.0
535;133465.0;133682.0;133466.0;1.0
536;128177.0;128303.0;128175.0;-2.0
538;140765.0;141075.0;140766.0;1.0
539;202816.0;203188.0;202807.0;-9.0
540;161420.0;161803.0;161419.0;-1.0
541;207133.0;207494.0;207150.0;17.0
542;150494.0;150754.0;150489.0;-5.0
543;135854.0;136144.0;135862.0;8.0
544;196205.0;196567.0;196184.0;-21.0
545;154337.0;154583.0;154335.0;-2.0
547;164539.0;164886.0;164538.0;-1.0
548;162497.0;162845.0;162485.0;-12.0
549;191416.0;191869.0;191400.0;-16.0
550;147299.0;147555.0;147303.0;4.0
551;198616.0;198958.0;198587.0;-29.0
552;162644.0;162759.0;162642.0;-2.0
553;177392.0;177791.0;177391.0;-1.0
555;190708.0;190981.0;190709.0;1.0
556;135925.0;136417.0;135926.0;1.0
557;161195.0;161693.0;161180.0;-15.0
558;138503.0;138949.0;138497.0;-6.0
559;203582.0;204020.0;203578.0;-4.0
561;172135.0;172431.0;172130.0;-5.0
562;142684.0;143045.0;142681.0;-3.0
563;183741.0;184099.0;183736.0;-5.0
564;178806.0;179166.0;178426.0;-380.0
565;194624.0;195017.0;194620.0;-4.0
567;184694.0;185017.0;184689.0;-5.0
568;145149.0;145691.0;145140.0;-9.0
569;178828.0;179564.0;178824.0;-4.0
571;174777.0;175405.0;174774.0;-3.0
572;162457.0;162936.0;162454.0;-3.0
574;151921.0;152277.0;151903.0;-18.0
575;169900.0;170343.0;169892.0;-8.0
577;160799.0;161471.0;160469.0;-330.0
578;172032.0;173341.0;172027.0;-5.0
579;162408.0;162822.0;162401.0;-7.0
581;186369.0;186786.0;186366.0;-3.0
582;180872.0;181318.0;180867.0;-5.0
583;166185.0;166802.0;166186.0;1.0
584;159828.0;160266.0;159820.0;-8.0
585;130078.0;130236.0;130071.0;-7.0
586;169574.0;169951.0;169571.0;-3.0
587;144405.0;144671.0;144403.0;-2.0
589;171017.0;171482.0;171000.0;-17.0
590;188780.0;189141.0;188770.0;-10.0
591;143512.0;143746.0;143510.0;-2.0
592;144027.0;144362.0;144020.0;-7.0
593;156776.0;157236.0;156773.0;-3.0
594;147189.0;147931.0;147161.0;-28.0
595;147516.0;148119.0;146896.0;-620.0
596;162392.0;163131.0;162385.0;-7.0
597;141323.0;141805.0;141309.0;-14.0
598;146011.0;146668.0;146016.0;5.0
