PartyID;ShortName;LongName;IsMinority
112;EB: Jagau;Andere Perspektiven;False
113;EB: Janda;Internationalistisches Bündnis;False
114;EB: Janoske-Kizildag;ODIN;False
115;EB: Janowski;Für die Altmark nach Berlin;False
116;EB: Kaiser;Freiheit jetzt! - Michael Kaiser;False
117;EB: Kaldewei;Stimme für Freiheitlichkeit, Bürgerlichkeit und menschliche Identität;False
118;EB: Kalupner;Angela and I are here to create ...;False
119;EB: Kaun;Direktkandidat Ralf Kaun;False
120;EB: Kerkhoff;Kerkhoff;False
121;EB: Klement;Neue Wege;False
122;EB: Klimczak;Paletten;False
123;EB: Klopstock;Politisch mitwirken für alle;False
124;EB: Knott;Stimme gegen Fraktionszwang;False
125;EB: Kober;Internationalistisches Bündnis;False
126;EB: Koccu;Parteilos;False
127;EB: Kohl;WIR sind LEIPZIGER;False
128;EB: Kolb;Aktion Bürger für Gerechtigkeit;False
129;EB: Krajak;Internationalistisches Bündnis;False
130;EB: Kramer;Ehrensache;False
131;EB: Krämer;Wahlrechtsreform;False
132;EB: Krüger;Sören Krüger;False
133;EB: Kunick;Internationalistisches Bündnis;False
134;EB: Kunstmann;AKB;False
135;EB: Langhans;Vereinigte Direktkandidaten;False
136;EB: Lauer;Lauer, Marius Wolfgang;False
137;EB: Lembach;Zeitgemäße Demokratie mit Politik auf Augenhöhe;False
138;EB: Lenz_1;LENZ;False
139;EB: Lenz_2;Internationalistisches Bündnis;False
140;EB: Lindlmair;Mieterinitiativen;False
141;EB: Lorenz;Parteilos;False
142;EB: Löhnert;MACH;False
143;EB: Löwe;parteienunabhängig;False
144;EB: Mandel;Klimaliste für Collective Care und Inklusion;False
145;EB: Manz;Manz;False
146;EB: Marinello;Internationalistisches Bündnis;False
147;EB: Marquardt;parteilose Direktkandidatin Marquardt;False
148;EB: Martinschledde;Alle in EU;False
149;EB: Mascher;Mascher;False
150;EB: Meister;Internationalistische Liste;False
151;EB: Meyer;Internationalistisches Bündnis;False
152;EB: Miller;FRiDi - unabhängig - unbestechlich - ehrlich - bürgernah;False
153;EB: Mobasheri;Klimaliste;False
154;EB: Moritz;Parteilos Dr. Moritz;False
155;EB: Moser;Parteifrei, unabhängig und transparent. Für eine direktere Demokratie ohne Fraktionszwang und eine Amtszeitbeschränkung.;False
156;EB: Mund;Heidi Mund;False
157;EB: Müller_1;Wir - alle gemeinsam;False
158;EB: Müller_2;Ihre parteilose Direktstimme im Bundestag für Mitbestimmung;False
159;EB: Nebeler;Bernd Nebeler;False
160;EB: Neumann;Frieden;False
161;EB: Novotny;Nicht Ich. Wir.;False
162;EB: Opfer;DU1;False
163;EB: Oschkinat;AufrechterDemokrat;False
164;EB: Pape;erneuerung-klima.de;False
165;EB: Peiler;Peiler;False
166;EB: Pettenkofer;Pettenkofer;False
167;EB: Podjaski;Artgerecht;False
168;EB: Pohl;Klimaliste;False
169;EB: Poss;Poss4SB;False
170;EB: Przybylski;Seelenwärmer;False
171;EB: Queck;QUECK;False
172;EB: Rapps;Internationalistische Liste;False
173;EB: Rehbein;REHBEIN;False
174;EB: Reichel;REICHEL;False
175;EB: Ressdorf;Volk ins Parlament - VIP;False
176;EB: Richter_1;Jugend-Narrativ;False
177;EB: Richter_2;Daniel Richter;False
178;EB: Ringger;Wadenbeißer;False
179;EB: Roensch;Deas;False
180;EB: Rohne;Einzelbewerber Rohne;False
181;EB: Roloff;EINFACH MACHEN;False
182;EB: Rosenbaum;BIBS;False
183;EB: Ryssel;Parteifreier Direktkandidat WK 226;False
184;EB: Röhder;Röhder;False
185;EB: Saygili;Saygili;False
186;EB: Sayn;Klimaliste;False
187;EB: Schlippenbach;PARTEILOS - FÜR MEHR DIREKTE DEMOKRATIE;False
188;EB: Schlossbauer;CSB Carsten Schlossbauer;False
189;EB: Schlot;Prof. Dr. med. Udo Schlot;False
190;EB: Schlüter_1;Einzelkandidat Schlüter;False
191;EB: Schlüter_2;Internationalistisches Bündnis;False
192;EB: Schmidt;Internationalistisches Bündnis;False
193;EB: Schmitt;Schmitt Wiesloch;False
194;EB: Schwang;Internationalistisches Bündnis;False
195;EB: Schäuble-Leopold;Internationalistisches Bündnis;False
196;EB: Schöllner;DK Schöllner;False
197;EB: Schöne;Klimaliste;False
198;EB: Schürer;Unparteilich;False
199;EB: Schütz;Wirtschaftlich-Ökologisch-Familienfreundlich;False
200;EB: Seiffert;Klimaliste;False
201;EB: Sirin;Ediz Sirin;False
202;EB: Snelinski;Parteifrei in den Bundestag;False
203;EB: Sommerfeldt;Mehr Vernunft;False
204;EB: Sonnabend;Bedingungsloses Grundeinkommen;False
205;EB: Stachowiak;Klimaliste Darmstadt-Dieburg;False
206;EB: Stein;Internationalistisches Bündnis;False
207;EB: Teßmann;Teßmann;False
208;EB: Tolzin;Nie wieder sinnlose Lockdowns!;False
209;EB: Trojanowski;Unsere Zukunftsperspektive für Digitalisierung, Bildung und Umwelt;False
210;EB: Tropp;Wir! Gemeinsam stark;False
211;EB: Vogler;Südpfalz - stellt Fragen!;False
212;EB: Vollmer;Klimaliste;False
213;EB: Voß;Direkt - bürgerschaftlich - unabhängig;False
214;EB: Wassenaar;UN-Menschenrecht auf Frieden;False
215;EB: Weich;Weich - parteilos;False
216;EB: Weidemann;Internationalistisches Bündnis;False
217;EB: Wendt;FriGGa Wendt, Grundeinkommen-für-alle.org;False
218;EB: Wetklo;Bürgerstimme;False
219;EB: Wieczorek;Einzelbewerber Wieczorek;False
220;EB: Wiesenthal;Klimaschutz;False
221;EB: Wittner;Klimaliste;False
222;EB: Wolter;DEMOKRATIE FAIR UND DIREKT;False
223;EB: Zajonc;Internationalistisches Bündnis;False
224;EB: Zebian;Zebian, Ayman;False
225;EB: Zimmermann;EB Zimmermann;False
226;EB: Zimmet;Direktkandidat Daniel Zimmet;False
227;Einzelbewerber Bellgardt;Einzelbewerber Bellgardt;False
228;Einzelbewerber Gliese;Einzelbewerber Gliese;False
229;Einzelbewerber Matthias Sanftleben;Einzelbewerber Matthias Sanftleben;False
230;Einzelwahlvorschlag Krüger;Einzelwahlvorschlag Krüger;False
231;EMRE;EMRE;False
232;Erststimme gegen Korruption;Erststimme gegen Korruption;False
233;"Es darf kein ""Weiter so"" geben!";"Es darf kein ""Weiter so"" geben!";False
234;FAMILIE;Familien-Partei Deutschlands;False
235;FDP;Freie Demokratische Partei;False
236;FREIE WÄHLER;FREIE WÄHLER;False
237;FRiDi - unabhängig - unbestechlich - ehrlich - bürgernah;FRiDi - unabhängig - unbestechlich - ehrlich - bürgernah;False
238;Für eine Welt ohne Grenzen, Krieg und Ausbeutung!;Für eine Welt ohne Grenzen, Krieg und Ausbeutung!;False
239;für Reinhardsbrunn;für Reinhardsbrunn;False
240;Ganz unten;Ganz unten;False
241;GANZUNTEN;GANZUNTEN;False
