BridgeID;Year;ConstituencyID;EligibleVoters;TotalVoters;Percent;PrevVotes;PrevPercent;DiffPercentPts;InvalidFirst;InvalidSecond;ValidFirst;ValidSecond
45;2021;245;219966.0;166592.0;75.73534091632344;218556.0;77.26212;-1.52678;1568.0;1762.0;165024.0;164830.0
46;2021;246;184471.0;132893.0;72.0400496555014;187377.0;74.59827;-2.55822;1345.0;1284.0;131548.0;131609.0
47;2021;247;238323.0;181202.0;76.03210768578778;239923.0;78.56479;-2.532682;1654.0;2110.0;179548.0;179092.0
48;2021;248;215131.0;161685.0;75.15653253134137;218349.0;77.67977;-2.523237;1676.0;1907.0;160009.0;159778.0
49;2021;249;200922.0;147218.0;73.2712196772877;206133.0;76.186734;-2.915514;1794.0;1496.0;145424.0;145722.0
50;2021;250;187721.0;140807.0;75.00865646358159;192041.0;76.916908;-1.908252;1254.0;1513.0;139553.0;139294.0
51;2021;251;180147.0;130671.0;72.53576246065712;183961.0;74.637015;-2.101253;1623.0;1467.0;129048.0;129204.0
52;2021;252;197519.0;143611.0;72.70743574035914;202963.0;74.386465;-1.679029;1544.0;1296.0;142067.0;142315.0
53;2021;254;214542.0;161876.0;75.45189286946146;220420.0;77.37365;-1.921757;2399.0;1571.0;159477.0;160305.0
54;2021;166;245384.0;186308.0;75.92508068985752;252496.0;74.481972;1.443109;1337.0;1071.0;184971.0;185237.0
55;2021;167;214365.0;144123.0;67.23252396613253;221655.0;66.705015;0.527509;2037.0;1320.0;142086.0;142803.0
56;2021;1;172726.0;122512.0;70.9285226312194;176002.0;68.310587;2.617935;1675.0;1504.0;120837.0;121008.0
57;2021;2;182836.0;130965.0;71.62976656675927;184716.0;70.307932;1.321834;1815.0;1719.0;129150.0;129246.0
58;2021;3;249331.0;195208.0;78.29271129542657;243108.0;76.102802;2.189909;2470.0;2120.0;192738.0;193088.0
59;2021;4;230391.0;177065.0;76.85413058669826;226424.0;75.097604;1.756526;2856.0;2567.0;174209.0;174498.0
60;2021;5;202955.0;147618.0;72.7343499790594;203983.0;70.53676;2.19759;2239.0;2039.0;145379.0;145579.0
61;2021;6;232797.0;190547.0;81.85114069339382;226640.0;79.41096;2.440181;1702.0;1662.0;188845.0;188885.0
62;2021;7;252744.0;194461.0;76.9399075744627;248708.0;75.432636;1.507272;2948.0;2731.0;191513.0;191730.0
63;2021;9;191387.0;142414.0;74.41153265373302;194759.0;71.909899;2.501634;1973.0;1824.0;140441.0;140590.0
64;2021;10;171267.0;128323.0;74.92570080634331;178676.0;73.939981;0.98572;1960.0;1768.0;126363.0;126555.0
65;2021;11;162410.0;120351.0;74.10319561603349;168543.0;73.194971;0.908225;2068.0;1887.0;118283.0;118464.0
66;2021;461;159998.0;108881.0;68.05147564344554;165625.0;67.135396;0.916079;1301.0;1137.0;107580.0;107744.0
67;2021;463;215532.0;148520.0;68.90856114173302;220786.0;68.165101;0.74346;1774.0;1557.0;146746.0;146963.0
68;2021;465;207942.0;138572.0;66.63973608025314;215607.0;66.587356;0.05238;1728.0;1522.0;136844.0;137050.0
69;2021;466;229198.0;156789.0;68.40766498835067;238060.0;68.425607;-0.017942;1497.0;1405.0;155292.0;155384.0
70;2021;467;169749.0;115204.0;67.8672628410182;177005.0;69.752832;-1.885569;1385.0;1235.0;113819.0;113969.0
