ID;﻿BridgeID;PartyID;VoteType;Votes;Percent;PrevVotes;PrevPercent;DiffPercentPts
4873;146;273;1;54614.0;30.777294;50458.0;29.252371;1.524923
4874;146;273;2;51061.0;28.713539;43184.0;24.951177;3.762362
4875;146;235;1;17826.0;10.045703;13681.0;7.931382;2.114321
4876;146;235;2;21005.0;11.811909;23296.0;13.460138;-1.648229
4877;146;4;1;13992.0;7.885082;15311.0;8.876354;-0.991271
4878;146;4;2;14206.0;7.988573;16165.0;9.339936;-1.351362
4879;146;245;1;22154.0;12.484714;9459.0;5.483733;7.000981
4880;146;245;2;24089.0;13.54616;10723.0;6.195616;7.350544
4881;146;29;1;5548.0;3.126532;9756.0;5.655914;-2.529382
4882;146;29;2;5520.0;3.104106;11702.0;6.76127;-3.657164
4883;146;30;2;1724.0;0.969471;1183.0;0.683523;0.285948
4884;146;281;2;2260.0;1.270884;1207.0;0.69739;0.573494
4885;146;268;2;666.0;0.374517;634.0;0.366317;0.0082
4886;146;236;1;2017.0;1.136665;0.0;0.0;0.0
4887;146;236;2;1176.0;0.661309;387.0;0.223604;0.437706
4888;146;262;2;156.0;0.087725;310.0;0.179114;-0.091389
4889;146;300;2;118.0;0.066356;149.0;0.08609;-0.019734
4890;146;287;2;89.0;0.050048;175.0;0.101113;-0.051065
4891;146;290;2;246.0;0.138335;176.0;0.101691;0.036645
4892;146;261;2;12.0;0.006748;40.0;0.023112;-0.016363
4893;146;267;2;121.0;0.068043;78.0;0.045067;0.022975
4894;146;33;2;31.0;0.017432;28.0;0.016178;0.001254
4895;146;271;2;13.0;0.00731;11.0;0.006356;0.000955
4896;146;31;1;2507.0;1.4128;0.0;0.0;0.0
4897;146;31;2;2038.0;1.146045;0.0;0.0;0.0
4898;146;15;2;159.0;0.089412;0.0;0.0;0.0
4899;146;34;2;89.0;0.050048;0.0;0.0;0.0
4900;146;256;2;251.0;0.141147;0.0;0.0;0.0
4901;146;257;2;34.0;0.019119;0.0;0.0;0.0
4902;146;266;2;73.0;0.041051;0.0;0.0;0.0
4903;146;255;2;173.0;0.097284;0.0;0.0;0.0
4904;146;27;2;495.0;0.278357;0.0;0.0;0.0
4905;146;295;2;327.0;0.183885;0.0;0.0;0.0
4906;147;21;1;62810.0;40.413854;73185.0;47.954002;-7.540148
4907;147;21;2;52017.0;33.452738;63651.0;41.652597;-8.19986
4908;147;273;1;50056.0;32.207545;41047.0;26.895784;5.311761
4909;147;273;2;44640.0;28.708503;34865.0;22.815318;5.893185
4910;147;235;1;10806.0;6.952907;12893.0;8.448056;-1.495148
4911;147;235;2;18712.0;12.033905;21919.0;14.343581;-2.309676
4912;147;4;1;10068.0;6.478056;11115.0;7.283032;-0.804977
4913;147;4;2;11532.0;7.416363;12216.0;7.994032;-0.577669
4914;147;245;1;12478.0;8.028723;6476.0;4.243357;3.785365
4915;147;245;2;15473.0;9.950866;7198.0;4.710301;5.240565
4916;147;29;1;2685.0;1.72761;6452.0;4.227632;-2.500021
4917;147;29;2;3989.0;2.565372;8183.0;5.354876;-2.789504
