PersonID;Year;ConstituencyID;Erststimmen;PreviouslyElected;PartyID
358;2021;411;7891.0;False;245
362;2021;261;4901.0;False;30
364;2021;53;1070.0;False;254
365;2021;259;19976.0;False;245
367;2021;393;9958.0;False;245
370;2021;227;1907.0;False;31
372;2021;379;836.0;False;295
376;2021;275;6675.0;False;29
377;2021;487;;False;45
378;2021;333;226.0;False;257
379;2021;465;34812.0;False;273
385;2021;275;2700.0;False;30
386;2021;353;52359.0;False;273
388;2021;238;54535.0;True;21
389;2021;229;2954.0;False;281
390;2021;197;4179.0;False;236
391;2021;197;10588.0;False;4
393;2021;132;10430.0;False;236
394;2021;301;3105.0;False;30
395;2021;438;3149.0;False;30
396;2021;421;63369.0;False;273
398;2021;395;9011.0;False;235
401;2021;275;2101.0;False;31
402;2021;50;10811.0;True;4
405;2021;454;11330.0;False;29
406;2021;102;12671.0;False;4
407;2021;419;36870.0;True;21
408;2021;471;30499.0;True;21
410;2021;248;41230.0;False;21
414;2021;285;11050.0;False;235
420;2021;418;7275.0;True;29
425;2021;293;38429.0;True;21
426;2021;327;167.0;False;33
431;2021;136;10669.0;False;4
432;2021;40;3477.0;False;29
434;2021;39;57504.0;True;21
436;2021;461;;False;46
437;2021;475;3958.0;False;236
438;2021;88;8066.0;False;4
440;2021;491;;False;47
441;2021;483;2435.0;False;31
450;2021;239;194.0;False;33
451;2021;325;3605.0;False;29
453;2021;44;50297.0;True;21
454;2021;411;39236.0;False;21
455;2021;205;2481.0;False;31
456;2021;319;;False;48
459;2021;55;3722.0;False;29
460;2021;78;2054.0;False;11
461;2021;341;5234.0;False;4
462;2021;205;2029.0;False;30
463;2021;271;8771.0;True;29
464;2021;261;3608.0;False;29
465;2021;175;33443.0;False;21
466;2021;71;2371.0;False;281
468;2021;313;489.0;False;261
473;2021;112;2647.0;False;300
474;2021;237;38784.0;False;273
475;2021;417;23832.0;False;245
476;2021;88;5041.0;False;236
478;2021;385;16810.0;True;4
479;2021;65;14692.0;False;245
482;2021;164;4911.0;False;29
484;2021;442;;False;49
485;2021;357;33513.0;False;273
486;2021;11;1719.0;False;31
488;2021;34;19892.0;False;273
489;2021;64;20293.0;False;4
490;2021;285;;False;50
491;2021;212;14424.0;False;235
494;2021;383;12933.0;False;4
495;2021;215;15786.0;False;235
496;2021;283;1391.0;False;295
497;2021;203;10880.0;False;4
499;2021;399;2887.0;False;30
501;2021;430;32702.0;False;4
503;2021;195;15995.0;False;245
504;2021;82;16029.0;False;235
506;2021;167;609.0;False;287
509;2021;475;11089.0;False;235
510;2021;78;3355.0;False;29
512;2021;116;17822.0;True;4
515;2021;134;16592.0;False;236
516;2021;2;10964.0;False;235
517;2021;45;1058.0;False;300
518;2021;219;10322.0;False;235
522;2021;110;1235.0;False;30
524;2021;242;7390.0;False;29
525;2021;187;38424.0;False;273
526;2021;80;631.0;False;295
527;2021;421;27109.0;False;245
529;2021;212;704.0;False;300
530;2021;417;10200.0;False;4
531;2021;241;1586.0;False;30
533;2021;90;2532.0;False;300
536;2021;219;26208.0;False;21
539;2021;181;21249.0;False;245
540;2021;249;39541.0;False;21
541;2021;363;4700.0;False;30
542;2021;240;8804.0;False;235
543;2021;295;5094.0;False;29
546;2021;22;705.0;False;268
547;2021;14;200.0;False;300
550;2021;71;4431.0;False;236
551;2021;427;2251.0;False;31
557;2021;243;3981.0;False;29
558;2021;481;29578.0;False;4
559;2021;51;2437.0;False;30
560;2021;471;2335.0;False;30
561;2021;183;61573.0;True;21
562;2021;56;17769.0;True;235
565;2021;247;13377.0;False;4
567;2021;84;83663.0;True;22
569;2021;487;48034.0;True;4
573;2021;50;7956.0;True;29
575;2021;53;53288.0;True;245
582;2021;181;47283.0;True;21
583;2021;43;15196.0;True;4
584;2021;47;3460.0;False;236
585;2021;477;849.0;False;300
587;2021;34;20910.0;False;4
588;2021;409;11870.0;False;235
590;2021;481;341.0;False;261
591;2021;165;17819.0;False;236
593;2021;232;80134.0;True;21
594;2021;343;;False;51
596;2021;128;32056.0;False;273
597;2021;140;41027.0;True;22
598;2021;193;25811.0;False;245
599;2021;465;37884.0;True;21
600;2021;201;2478.0;False;236
601;2021;325;30845.0;False;21
602;2021;436;39066.0;False;21
603;2021;171;244.0;False;261
604;2021;138;507.0;False;11
607;2021;367;113.0;False;33
608;2021;53;2839.0;False;236
609;2021;331;3699.0;False;29
611;2021;477;34010.0;False;273
614;2021;55;15549.0;False;235
615;2021;49;36501.0;True;273
619;2021;72;3047.0;False;236
620;2021;345;71185.0;True;21
623;2021;353;5283.0;False;29
626;2021;448;4292.0;False;30
627;2021;471;12521.0;False;245
630;2021;331;14515.0;False;235
632;2021;281;53757.0;True;21
635;2021;399;4483.0;False;29
637;2021;70;3303.0;False;281
639;2021;67;3482.0;False;236
641;2021;96;26183.0;False;245
645;2021;73;30743.0;True;245
646;2021;422;19025.0;False;245
647;2021;252;3835.0;False;29
649;2021;162;29960.0;True;273
651;2021;118;2567.0;False;31
652;2021;36;195.0;False;257
653;2021;414;38927.0;False;273
654;2021;444;;False;52
655;2021;391;45364.0;False;21
657;2021;5;23931.0;False;4
663;2021;389;2354.0;False;30
666;2021;124;726.0;False;295
669;2021;251;11305.0;False;245
670;2021;76;9245.0;True;235
672;2021;50;3152.0;False;31
673;2021;205;7497.0;True;29
674;2021;211;4287.0;False;236
676;2021;315;1007.0;False;31
678;2021;102;3537.0;False;29
680;2021;54;184.0;False;261
681;2021;475;30969.0;True;273
682;2021;4;40804.0;False;21
683;2021;241;746.0;False;268
686;2021;473;12419.0;True;29
688;2021;213;159.0;False;301
689;2021;223;29950.0;False;21
690;2021;20;;False;53
691;2021;82;1408.0;False;295
693;2021;291;14873.0;False;235
694;2021;160;966.0;False;287
701;2021;460;26413.0;False;273
702;2021;2;;False;54
704;2021;62;46406.0;False;21
705;2021;94;3685.0;False;29
706;2021;164;5508.0;False;31
707;2021;448;1054.0;False;300
709;2021;329;9014.0;True;235
710;2021;359;2122.0;False;236
712;2021;335;13404.0;True;235
713;2021;224;11798.0;False;235
715;2021;311;2863.0;False;30
716;2021;207;17192.0;False;235
717;2021;229;2694.0;False;29
718;2021;365;24027.0;False;21
719;2021;86;7591.0;True;4
720;2021;148;67458.0;True;22
721;2021;98;20829.0;False;245
722;2021;63;4254.0;False;29
726;2021;52;16455.0;False;4
731;2021;37;877.0;False;295
733;2021;405;193.0;False;257
737;2021;479;5529.0;False;236
747;2021;43;156.0;False;261
748;2021;215;3258.0;False;31
751;2021;257;;False;55
753;2021;379;4900.0;False;29
754;2021;483;37249.0;True;4
756;2021;345;13507.0;False;235
757;2021;385;5005.0;False;29
758;2021;367;13361.0;True;30
759;2021;456;12787.0;False;29
760;2021;167;1799.0;False;236
764;2021;235;32720.0;False;21
765;2021;54;37102.0;False;273
767;2021;287;203.0;False;261
771;2021;64;544.0;False;267
775;2021;177;;False;56
776;2021;283;4845.0;False;29
778;2021;56;41205.0;True;273
781;2021;215;9095.0;False;29
784;2021;42;4394.0;False;236
785;2021;203;5047.0;True;29
787;2021;6;;False;57
788;2021;432;2275.0;False;31
789;2021;20;28904.0;False;21
790;2021;92;391.0;False;34
792;2021;414;157.0;False;257
793;2021;38;31446.0;True;245
795;2021;442;53970.0;True;4
796;2021;405;4648.0;False;29
800;2021;371;1967.0;False;236
801;2021;234;6375.0;False;29
802;2021;345;4284.0;False;29
803;2021;415;8274.0;False;4
805;2021;399;14090.0;False;4
809;2021;195;3308.0;False;236
810;2021;63;6955.0;False;31
811;2021;307;14821.0;False;235
812;2021;28;256.0;False;272
813;2021;189;18996.0;False;245
816;2021;7;;False;58
817;2021;225;77143.0;True;21
818;2021;5;;False;59
821;2021;327;14836.0;False;245
822;2021;52;4212.0;False;29
823;2021;201;7990.0;True;4
824;2021;339;48068.0;False;273
827;2021;285;10797.0;False;4
829;2021;214;5450.0;False;4
831;2021;377;10806.0;True;235
834;2021;49;16988.0;False;4
836;2021;34;39543.0;False;21
838;2021;171;2876.0;False;30
839;2021;2;12316.0;False;29
840;2021;361;186.0;False;261
842;2021;50;162.0;False;261
843;2021;4;12270.0;False;235
844;2021;363;9361.0;True;29
846;2021;287;1544.0;False;236
847;2021;359;17954.0;True;245
848;2021;240;3070.0;False;29
849;2021;430;4707.0;False;236
850;2021;343;50685.0;True;273
852;2021;130;2651.0;False;29
853;2021;415;43745.0;True;21
855;2021;217;205.0;False;262
860;2021;279;4607.0;False;29
865;2021;167;908.0;False;268
869;2021;203;10726.0;False;235
871;2021;146;1580.0;False;300
872;2021;162;20621.0;True;245
873;2021;38;;False;60
874;2021;28;35530.0;False;273
876;2021;106;1895.0;False;29
884;2021;158;4693.0;False;31
885;2021;293;11158.0;False;235
886;2021;369;28897.0;False;21
888;2021;44;34663.0;False;245
889;2021;452;15229.0;False;29
890;2021;216;880.0;False;300
891;2021;249;;False;61
893;2021;471;42335.0;True;273
900;2021;51;37948.0;False;273
902;2021;381;2269.0;False;236
903;2021;385;54320.0;False;273
906;2021;311;45852.0;False;273
909;2021;411;1654.0;False;31
913;2021;56;3238.0;False;31
914;2021;456;50571.0;False;4
915;2021;1;1771.0;False;31
917;2021;169;51613.0;True;273
919;2021;134;3798.0;False;29
