Year;Nachname;Vornamen;Geburtsjahr;Geburtsort;Geschlecht;PersonID
2021;Anschütz;Elisabeth Gertrud;1962;Gummersbach;w;110
2021;Antary;Frederik Paul;1996;Göttingen;m;111
2021;Anton;Andreas;1983;Villingen-Schwenningen;m;112
2021;Anton;Sascha David;2000;Weiden;m;113
2021;Antpöhler-Zwiernik;Oliver;1986;Koblenz;m;114
2021;Apel;Dominik Markus;1994;Moers;m;115
2021;Apelt;Harry Gerolf Marc;1983;Fritzlar;m;116
2021;Appel;Werner;1934;Gießen;m;117
2021;Appuhn;Svenja Vivien;1997;Frankfurt am Main;w;118
2021;Araki;Chaker Anis;1972;Beirut;m;119
2021;Aranea Guillén;Mona;1986;Mönchengladbach;w;120
2021;Araz;Cansu;1990;Iskenderun, Türkei;w;121
2021;Arbeck;Kathrin;1969;Hamburg;w;122
2021;Arbid;Ali Alreda;1991;Peine;m;123
2021;Archner;Roman;1980;Berlin;m;124
2021;Arefi Fard;Aresch;1991;Hameln;m;125
2021;Arendt;Dirk;1976;Stralsund;m;126
2021;Arenz;Udo Peter;1964;Leverkusen;m;127
2021;Ariatabar;Parisa;1987;Berlin;w;128
2021;Arlaud;Leah Esther;1997;Pforzheim;w;129
2021;Arlt;Günter;1952;Gütersloh;m;130
2021;Arlt;Johannes;1984;Berlin;m;131
2021;Arlt;Philipp;2000;Dresden;m;132
2021;Armaschelew;Nelli;1994;Puschkino, Russland;w;133
2021;Armbrüster;Ralf;1970;Landau in der Pfalz;m;134
2021;Armster;Christian Friederich;1969;Weimar;m;135
2021;Armstroff;Cindy;1997;Aschaffenburg;w;136
2021;Arndt;Alfred Jakob;1949;Mörfelden;m;137
2021;Arndt;Hans Gerd;1957;Eitorf;m;138
2021;Arndt;Klaus Joachim;1966;Hofgeismar;m;139
2021;Arndt;Lukas;1996;Oldenburg (Oldenburg);m;140
2021;Arnecke;Dagmar;1951;Halle (Saale);w;141
2021;Arning;René;1991;Coesfeld;m;142
2021;Arnold;Bendrick;1946;Berlin;m;143
2021;Arnold;Dieter;1973;Regensburg;m;144
2021;Arnold;Domenic;1997;Heidelberg;m;145
2021;Arnold;Jörg Manfred;1965;Berlin;m;146
2021;Arnold;Lars Clemens;1968;Gießen;m;147
2021;Arpaz;Selin Ece;1999;Bonn;w;148
2021;Arps;Bastian;1989;Bielefeld;m;149
2021;Arslan;Kübra;1984;Duisburg;w;150
2021;Arweiler;Jörg;1974;Saarbrücken;m;151
2021;Arz;Christoph;1996;Altötting;m;152
2021;Arzt;Ilona Lydia;1964;Frankfurt am Main;w;153
2021;Asafu-Adjei;Nana Asantewa;1977;Frankfurt am Main;w;154
2021;Asbach;Klaus Dieter;1964;Kirchen (Sieg);m;155
2021;Aschenberg-Dugnus;Christine Irene;1959;Eppstein;w;156
2021;Aschenbrenner;Arnold;1951;Soltendieck;m;157
2021;Asi;Ferhat;1992;Derik, Türkei;m;158
2021;Aslan;Özenç;1982;Hannover;m;159
2021;Aslanoǧlu;Ferhat;1974;M. Kemal Pasa;m;160
2021;Asmus;Sven;1976;Sangerhausen;m;161
2021;Assel;Dietmar Rudolf;1966;Offenburg;m;162
2021;Assmann;Hermann Josef;1977;Frechen;m;163
2021;Aswegen;Wilfried;1956;Kaiserslautern;m;164
2021;Ateia;Jasmin;1982;Ulm;w;165
2021;Ates;Zeki;1962;Erzincan, Türkei;m;166
2021;Audretsch;Andreas;1984;Stuttgart;m;167
2021;Auer;Stefanie Maria;1986;Passau;w;168
2021;Auerhahn;Anna-Maria;1996;Moers;w;169
2021;Auernhammer;Artur;1963;Weißenburg i. Bay.;m;170
2021;Aufenanger;Michael;1976;Kassel;m;171
2021;Aufmkolk;Helga;1959;Köln;w;172
2021;Aulenbacher;Susanne Krimhilde;1958;Singen;w;173
2021;Aumer;Peter;1976;Regensburg;m;174
2021;Austermann;Georg Hans-Ludwig Maria;1966;Münster;m;175
2021;Außendorf;Maik;1971;Hiltrup (jetzt Münster);m;176
2021;Averbeck;Petra;1959;Oldenburg (Oldenburg);w;177
2021;Avetisyan;Narek Avetisi;1987;Hoktemberyan, Armenien;m;178
2021;Ayar;Melek;1996;Solingen;w;179
2021;Aydin;Tufan;1988;Moers;m;180
2021;Azbak;Sahin;1968;Erzincan;m;181
2021;Aßmann;Barbara;1966;Kiel;w;182
2021;Babendererde;Cornell-Anette;1971;Neumünster;w;183
2021;Babenhauserheide;Maik;1975;Bünde;m;184
2021;Babic;Safet;1981;Hanau;m;185
2021;Bach;Jorias;1998;Sontra;m;186
2021;Bach;Sebastian Freimund;1982;Gotha;m;187
2021;Bachem;Wilfried;1961;Langerwehe;m;188
2021;Bacherle;Tobias Björn;1994;Herrenberg;m;189
2021;Bachmann;Carolin;1988;Freiberg;w;190
2021;Bachmann;Sophie;1988;Göttingen;w;191
2021;Bachmann;Susanne;1966;Lünen;w;192
2021;Bachmann;Sven Wilhelm;1975;Bamberg;m;193
2021;Bachmann;Uwe;1963;Kaiserslautern;m;194
2021;Backfisch;Markus Wilhelm;1973;Mosbach;m;195
2021;Backs;Arnim Jörg Daniel;1972;Haan (Rheinland);m;196
2021;Baddack;Sven;1967;Hildburghausen;m;197
2021;Bader;Jürgen;1960;Hamburg;m;198
2021;Bader;Karl-Heinz;1954;Hannover;m;199
2021;Bader;Susanne Doris;1956;Wernau;w;200
