PartyID;ShortName;LongName
121;EB: Klement;Neue Wege
122;EB: Klimczak;Paletten
123;EB: Klopstock;Politisch mitwirken für alle
124;EB: Knott;Stimme gegen Fraktionszwang
125;EB: Kober;Internationalistisches Bündnis
126;EB: Koccu;Parteilos
127;EB: Kohl;WIR sind LEIPZIGER
128;EB: Kolb;Aktion Bürger für Gerechtigkeit
129;EB: Krajak;Internationalistisches Bündnis
130;EB: Kramer;Ehrensache
131;EB: Krämer;Wahlrechtsreform
132;EB: Krüger;Sören Krüger
133;EB: Kunick;Internationalistisches Bündnis
134;EB: Kunstmann;AKB
135;EB: Langhans;Vereinigte Direktkandidaten
136;EB: Lauer;Lauer, Marius Wolfgang
137;EB: Lembach;Zeitgemäße Demokratie mit Politik auf Augenhöhe
138;EB: Lenz_1;LENZ
139;EB: Lenz_2;Internationalistisches Bündnis
140;EB: Lindlmair;Mieterinitiativen
141;EB: Lorenz;Parteilos
142;EB: Löhnert;MACH
143;EB: Löwe;parteienunabhängig
144;EB: Mandel;Klimaliste für Collective Care und Inklusion
145;EB: Manz;Manz
146;EB: Marinello;Internationalistisches Bündnis
147;EB: Marquardt;parteilose Direktkandidatin Marquardt
148;EB: Martinschledde;Alle in EU
149;EB: Mascher;Mascher
150;EB: Meister;Internationalistische Liste
151;EB: Meyer;Internationalistisches Bündnis
152;EB: Miller;FRiDi - unabhängig - unbestechlich - ehrlich - bürgernah
153;EB: Mobasheri;Klimaliste
154;EB: Moritz;Parteilos Dr. Moritz
155;EB: Moser;Parteifrei, unabhängig und transparent. Für eine direktere Demokratie ohne Fraktionszwang und eine Amtszeitbeschränkung.
156;EB: Mund;Heidi Mund
157;EB: Müller_1;Wir - alle gemeinsam
158;EB: Müller_2;Ihre parteilose Direktstimme im Bundestag für Mitbestimmung
159;EB: Nebeler;Bernd Nebeler
160;EB: Neumann;Frieden
161;EB: Novotny;Nicht Ich. Wir.
162;EB: Opfer;DU1
163;EB: Oschkinat;AufrechterDemokrat
164;EB: Pape;erneuerung-klima.de
165;EB: Peiler;Peiler
166;EB: Pettenkofer;Pettenkofer
167;EB: Podjaski;Artgerecht
168;EB: Pohl;Klimaliste
169;EB: Poss;Poss4SB
170;EB: Przybylski;Seelenwärmer
171;EB: Queck;QUECK
172;EB: Rapps;Internationalistische Liste
173;EB: Rehbein;REHBEIN
174;EB: Reichel;REICHEL
175;EB: Ressdorf;Volk ins Parlament - VIP
176;EB: Richter_1;Jugend-Narrativ
177;EB: Richter_2;Daniel Richter
178;EB: Ringger;Wadenbeißer
179;EB: Roensch;Deas
180;EB: Rohne;Einzelbewerber Rohne
181;EB: Roloff;EINFACH MACHEN
182;EB: Rosenbaum;BIBS
183;EB: Ryssel;Parteifreier Direktkandidat WK 226
184;EB: Röhder;Röhder
185;EB: Saygili;Saygili
186;EB: Sayn;Klimaliste
187;EB: Schlippenbach;PARTEILOS - FÜR MEHR DIREKTE DEMOKRATIE
188;EB: Schlossbauer;CSB Carsten Schlossbauer
189;EB: Schlot;Prof. Dr. med. Udo Schlot
190;EB: Schlüter_1;Einzelkandidat Schlüter
191;EB: Schlüter_2;Internationalistisches Bündnis
192;EB: Schmidt;Internationalistisches Bündnis
193;EB: Schmitt;Schmitt Wiesloch
194;EB: Schwang;Internationalistisches Bündnis
195;EB: Schäuble-Leopold;Internationalistisches Bündnis
196;EB: Schöllner;DK Schöllner
197;EB: Schöne;Klimaliste
198;EB: Schürer;Unparteilich
199;EB: Schütz;Wirtschaftlich-Ökologisch-Familienfreundlich
200;EB: Seiffert;Klimaliste
201;EB: Sirin;Ediz Sirin
202;EB: Snelinski;Parteifrei in den Bundestag
203;EB: Sommerfeldt;Mehr Vernunft
204;EB: Sonnabend;Bedingungsloses Grundeinkommen
205;EB: Stachowiak;Klimaliste Darmstadt-Dieburg
206;EB: Stein;Internationalistisches Bündnis
207;EB: Teßmann;Teßmann
208;EB: Tolzin;Nie wieder sinnlose Lockdowns!
209;EB: Trojanowski;Unsere Zukunftsperspektive für Digitalisierung, Bildung und Umwelt
210;EB: Tropp;Wir! Gemeinsam stark
211;EB: Vogler;Südpfalz - stellt Fragen!
212;EB: Vollmer;Klimaliste
213;EB: Voß;Direkt - bürgerschaftlich - unabhängig
214;EB: Wassenaar;UN-Menschenrecht auf Frieden
215;EB: Weich;Weich - parteilos
216;EB: Weidemann;Internationalistisches Bündnis
217;EB: Wendt;FriGGa Wendt, Grundeinkommen-für-alle.org
218;EB: Wetklo;Bürgerstimme
219;EB: Wieczorek;Einzelbewerber Wieczorek
220;EB: Wiesenthal;Klimaschutz
221;EB: Wittner;Klimaliste
222;EB: Wolter;DEMOKRATIE FAIR UND DIREKT
223;EB: Zajonc;Internationalistisches Bündnis
224;EB: Zebian;Zebian, Ayman
225;EB: Zimmermann;EB Zimmermann
226;EB: Zimmet;Direktkandidat Daniel Zimmet
227;Einzelbewerber Bellgardt;Einzelbewerber Bellgardt
228;Einzelbewerber Gliese;Einzelbewerber Gliese
229;Einzelbewerber Matthias Sanftleben;Einzelbewerber Matthias Sanftleben
230;Einzelwahlvorschlag Krüger;Einzelwahlvorschlag Krüger
231;EMRE;EMRE
232;Erststimme gegen Korruption;Erststimme gegen Korruption
233;"Es darf kein ""Weiter so"" geben!";"Es darf kein ""Weiter so"" geben!"
234;FAMILIE;Familien-Partei Deutschlands
235;FDP;Freie Demokratische Partei
236;FREIE WÄHLER;FREIE WÄHLER
237;FRiDi - unabhängig - unbestechlich - ehrlich - bürgernah;FRiDi - unabhängig - unbestechlich - ehrlich - bürgernah
238;Für eine Welt ohne Grenzen, Krieg und Ausbeutung!;Für eine Welt ohne Grenzen, Krieg und Ausbeutung!
239;für Reinhardsbrunn;für Reinhardsbrunn
240;Ganz unten;Ganz unten
241;GANZUNTEN;GANZUNTEN
242;Gartenpartei;Gartenpartei
243;Gegen Kapitalismus und Krieg! Stoppt den Genozid in Gaza!;Gegen Kapitalismus und Krieg! Stoppt den Genozid in Gaza!
244;Graue Panther;Graue Panther
245;GRÜNE;BÜNDNIS 90/DIE GRÜNEN
246;Ideenschmiede Rheinhessen;Ideenschmiede Rheinhessen
247;III. Weg;DER DRITTE WEG
248;Initiative Gegenwind;Initiative Gegenwind
249;Integrität und Gerechtigkeit für ein starkes Deutschland;Integrität und Gerechtigkeit für ein starkes Deutschland
250;Jens Kersten;Jens Kersten
251;Julia Bachmann;Julia Bachmann
252;Jürgen Reitz Unabhängige Wählergemeinschaft Marburg-Biedenkopf;Jürgen Reitz Unabhängige Wählergemeinschaft Marburg-Biedenkopf
253;Klasse Gegen Klasse / Revolutionäre Internationalistische Organisation;Klasse Gegen Klasse / Revolutionäre Internationalistische Organisation
254;KlimalisteBW;Klimaliste Baden-Württemberg
255;LfK;>> Partei für Kinder, Jugendliche und Familien << - Lobbyisten für Kinder -
256;LIEBE;Europäische Partei LIEBE
257;LKR;Liberal-Konservative Reformer
258;Marburger Pogo-Anarchisten;Marburger Pogo-Anarchisten
259;MENSCHLICHE WELT;Menschliche Welt - für das Wohl und Glücklichsein aller
260;MERA25;MERA25 - Gemeinsam für Europäische Unabhängigkeit
261;MLPD;Marxistisch-Leninistische Partei Deutschlands
262;NPD;Nationaldemokratische Partei Deutschlands
263;OpaBraveheart;OpaBraveheart
264;parteilos;parteilos
265;parteilos1968;parteilos1968
266;PdF;Partei des Fortschritts
267;PdH;Partei der Humanisten - Fakten, Freiheit, Fortschritt
268;PIRATEN;Piratenpartei Deutschland
269;RobbySchubert;RobbySchubert
270;Robert Farle;Robert Farle
271;SGP;Sozialistische Gleichheitspartei, Vierte Internationale
272;sonstige;DIE SONSTIGEN - X
273;SPD;Sozialdemokratische Partei Deutschlands
274;SSW;Südschleswigscher Wählerverband
275;Stimme für Thüringen;Stimme für Thüringen
276;Stimme für VOLKSENTSCHEIDE;Stimme für VOLKSENTSCHEIDE
277;STÖBER;STÖBER
278;Team Orange;Team Orange
279;THP;Thüringer Heimatpartei
280;Tierschutzallianz;Allianz für Menschenrechte, Tier- und Naturschutz
281;Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ
282;Tim Knauer;Tim Knauer
283;TNT;Transparent, Nah am Bürger, Treu den Wählern
284;Tradition und Zukunft;Tradition und Zukunft
285;Ulf Michalsky;Ulf Michalsky
286;UNABHÄNGIGE;UNABHÄNGIGE für bürgernahe Demokratie
287;V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer
288;Verantwortung für Frieden - Gesundheit - Gerechtigkeit +++ liegt in unserer Hand! Danke für Ihr Vertrauen!;Verantwortung für Frieden - Gesundheit - Gerechtigkeit +++ liegt in unserer Hand! Danke für Ihr Vertrauen!
289;Vereinigte Direktkandidaten;Vereinigte Direktkandidaten
290;Verjüngungsforschung;Partei für Verjüngungsforschung
291;Versöhnen an Stelle von spalten - Reiner Füllmich;Versöhnen an Stelle von spalten - Reiner Füllmich
292;Volkmar Raidt;Volkmar Raidt
293;Volksabstimmung;Ab jetzt...Demokratie durch Volksabstimmung - Politik für die Menschen
294;Volksbegehren;Volksbegehren
295;Volt;Volt Deutschland
296;Wahlbündnis Move35 / 50 % Pkw-Reduzierung JETZT !;Wahlbündnis Move35 / 50 % Pkw-Reduzierung JETZT !
297;WerteUnion;WerteUnion
298;WIR SIND ZUSAMMEN STARK (WSZ);WIR SIND ZUSAMMEN STARK (WSZ)
299;Zusammen machen wir Deutschland herzlicher!;Zusammen machen wir Deutschland herzlicher!
300;ÖDP;Ökologisch-Demokratische Partei
301;ÖLDP;RESIST! FRIEDLICHE ÖKOLINKSLIBERALE DEMOKRATISCHE REVOLUTION. FREIHEITEN, DEMOKRATIE, WOHLSTAND, GESUNDHEIT FÜR ALLE! BULTHEEL WÄHLEN!
