Year;ShortName;LongName;PartyID
2021;EB: Henig;Klimaliste;97
2021;EB: Herbert;Internationalistische Liste;98
2021;EB: Herrlinger;Internationalistisches Bündnis;99
2021;EB: Herrmann;Unabhängig und FREI;100
2021;EB: Herzig;Internationalistisches Bündnis;101
2021;EB: Hilz;Vereinigte Direktkandidaten;102
2021;EB: Hinners;ZUKUNFT;103
2021;EB: Hitzer;Bürger bewirbt sich als freier Direktkandidat;104
2021;EB: Hofmann_1;Eure Stimme von Morgen;105
2021;EB: Hofmann_2;Klimaliste;106
2021;EB: Hoppe;Klimaliste;107
2021;EB: Hummitzsch;KARLKOMMT;108
2021;EB: Härtlein;Ein Leipziger für Leipzig;109
2021;EB: Häupl;UNO - Menschenrecht - FRIEDEN für Alle;110
2021;EB: Hönig;OpaBraveheart;111
2021;EB: Jagau;Andere Perspektiven;112
2021;EB: Janda;Internationalistisches Bündnis;113
2021;EB: Janoske-Kizildag;ODIN;114
2021;EB: Janowski;Für die Altmark nach Berlin;115
2021;EB: Kaiser;Freiheit jetzt! - Michael Kaiser;116
2021;EB: Kaldewei;Stimme für Freiheitlichkeit, Bürgerlichkeit und menschliche Identität;117
2021;EB: Kalupner;Angela and I are here to create ...;118
2021;EB: Kaun;Direktkandidat Ralf Kaun;119
2021;EB: Kerkhoff;Kerkhoff;120
2021;EB: Klement;Neue Wege;121
2021;EB: Klimczak;Paletten;122
2021;EB: Klopstock;Politisch mitwirken für alle;123
2021;EB: Knott;Stimme gegen Fraktionszwang;124
2021;EB: Kober;Internationalistisches Bündnis;125
2021;EB: Koccu;Parteilos;126
2021;EB: Kohl;WIR sind LEIPZIGER;127
2021;EB: Kolb;Aktion Bürger für Gerechtigkeit;128
2021;EB: Krajak;Internationalistisches Bündnis;129
2021;EB: Kramer;Ehrensache;130
2021;EB: Krämer;Wahlrechtsreform;131
2021;EB: Krüger;Sören Krüger;132
2021;EB: Kunick;Internationalistisches Bündnis;133
2021;EB: Kunstmann;AKB;134
2021;EB: Langhans;Vereinigte Direktkandidaten;135
2021;EB: Lauer;Lauer, Marius Wolfgang;136
2021;EB: Lembach;Zeitgemäße Demokratie mit Politik auf Augenhöhe;137
2021;EB: Lenz_1;LENZ;138
2021;EB: Lenz_2;Internationalistisches Bündnis;139
2021;EB: Lindlmair;Mieterinitiativen;140
2021;EB: Lorenz;Parteilos;141
2021;EB: Löhnert;MACH;142
2021;EB: Löwe;parteienunabhängig;143
2021;EB: Mandel;Klimaliste für Collective Care und Inklusion;144
2021;EB: Manz;Manz;145
2021;EB: Marinello;Internationalistisches Bündnis;146
2021;EB: Marquardt;parteilose Direktkandidatin Marquardt;147
2021;EB: Martinschledde;Alle in EU;148
2021;EB: Mascher;Mascher;149
2021;EB: Meister;Internationalistische Liste;150
2021;EB: Meyer;Internationalistisches Bündnis;151
2021;EB: Miller;FRiDi - unabhängig - unbestechlich - ehrlich - bürgernah;152
2021;EB: Mobasheri;Klimaliste;153
2021;EB: Moritz;Parteilos Dr. Moritz;154
2021;EB: Moser;Parteifrei, unabhängig und transparent. Für eine direktere Demokratie ohne Fraktionszwang und eine Amtszeitbeschränkung.;155
2021;EB: Mund;Heidi Mund;156
2021;EB: Müller_1;Wir - alle gemeinsam;157
2021;EB: Müller_2;Ihre parteilose Direktstimme im Bundestag für Mitbestimmung;158
2021;EB: Nebeler;Bernd Nebeler;159
2021;EB: Neumann;Frieden;160
2021;EB: Novotny;Nicht Ich. Wir.;161
2021;EB: Opfer;DU1;162
2021;EB: Oschkinat;AufrechterDemokrat;163
2021;EB: Pape;erneuerung-klima.de;164
2021;EB: Peiler;Peiler;165
2021;EB: Pettenkofer;Pettenkofer;166
2021;EB: Podjaski;Artgerecht;167
2021;EB: Pohl;Klimaliste;168
2021;EB: Poss;Poss4SB;169
2021;EB: Przybylski;Seelenwärmer;170
2021;EB: Queck;QUECK;171
2021;EB: Rapps;Internationalistische Liste;172
2021;EB: Rehbein;REHBEIN;173
2021;EB: Reichel;REICHEL;174
2021;EB: Ressdorf;Volk ins Parlament - VIP;175
2021;EB: Richter_1;Jugend-Narrativ;176
2021;EB: Richter_2;Daniel Richter;177
2021;EB: Ringger;Wadenbeißer;178
2021;EB: Roensch;Deas;179
2021;EB: Rohne;Einzelbewerber Rohne;180
2021;EB: Roloff;EINFACH MACHEN;181
2021;EB: Rosenbaum;BIBS;182
2021;EB: Ryssel;Parteifreier Direktkandidat WK 226;183
2021;EB: Röhder;Röhder;184
2021;EB: Saygili;Saygili;185
2021;EB: Sayn;Klimaliste;186
2021;EB: Schlippenbach;PARTEILOS - FÜR MEHR DIREKTE DEMOKRATIE;187
2021;EB: Schlossbauer;CSB Carsten Schlossbauer;188
2021;EB: Schlot;Prof. Dr. med. Udo Schlot;189
2021;EB: Schlüter_1;Einzelkandidat Schlüter;190
2021;EB: Schlüter_2;Internationalistisches Bündnis;191
2021;EB: Schmidt;Internationalistisches Bündnis;192
2021;EB: Schmitt;Schmitt Wiesloch;193
2021;EB: Schwang;Internationalistisches Bündnis;194
2021;EB: Schäuble-Leopold;Internationalistisches Bündnis;195
2021;EB: Schöllner;DK Schöllner;196
2021;EB: Schöne;Klimaliste;197
2021;EB: Schürer;Unparteilich;198
2021;EB: Schütz;Wirtschaftlich-Ökologisch-Familienfreundlich;199
2021;EB: Seiffert;Klimaliste;200
2021;EB: Sirin;Ediz Sirin;201
2021;EB: Snelinski;Parteifrei in den Bundestag;202
2021;EB: Sommerfeldt;Mehr Vernunft;203
2021;EB: Sonnabend;Bedingungsloses Grundeinkommen;204
2021;EB: Stachowiak;Klimaliste Darmstadt-Dieburg;205
