PartyListID;Year;StateID;PartyID;VoteCount
329;2021;10;293;1086.0
330;2021;16;287;1052.0
331;2021;6;257;1035.0
332;2021;10;286;1020.0
333;2021;8;286;1019.0
334;2021;10;271;971.0
335;2021;16;244;961.0
336;2021;6;286;951.0
337;2021;5;268;908.0
338;2021;12;33;842.0
339;2021;8;33;754.0
340;2021;2;20;727.0
341;2021;11;261;626.0
342;2021;12;261;587.0
343;2021;13;261;558.0
344;2021;3;287;550.0
345;2021;16;279;549.0
346;2021;7;33;532.0
347;2021;2;271;446.0
348;2021;7;257;427.0
349;2021;5;261;426.0
350;2021;4;20;416.0
351;2021;5;259;386.0
352;2021;7;17;386.0
353;2021;3;259;351.0
354;2021;16;257;338.0
355;2021;2;259;305.0
356;2021;11;33;294.0
357;2021;5;262;291.0
358;2021;2;272;256.0
359;2021;2;7;222.0
360;2021;14;20;210.0
361;2021;2;17;205.0
362;2021;6;20;123.0
363;2021;3;20;62.0
364;2025;1;4;1101005.0
365;2025;1;12;176187.0
366;2025;1;16;7897.0
367;2025;1;21;630265.0
368;2025;1;29;365402.0
369;2025;1;30;30144.0
370;2025;1;235;97919.0
371;2025;1;236;76971.0
372;2025;1;245;194580.0
373;2025;1;261;1118.0
374;2025;1;273;580961.0
375;2025;1;295;22057.0
376;2025;2;4;591529.0
377;2025;2;12;171144.0
378;2025;2;16;10652.0
379;2025;2;20;2022.0
380;2025;2;21;769954.0
381;2025;2;29;810631.0
382;2025;2;30;21258.0
383;2025;2;235;126726.0
384;2025;2;236;15553.0
385;2025;2;245;666231.0
386;2025;2;260;3101.0
387;2025;2;261;2159.0
388;2025;2;266;3407.0
389;2025;2;271;498.0
390;2025;2;273;621817.0
391;2025;2;281;45091.0
392;2025;2;295;18210.0
393;2025;3;4;2487325.0
394;2025;3;12;259788.0
395;2025;3;16;12564.0
396;2025;3;15;13805.0
397;2025;3;21;4286860.0
398;2025;3;29;789464.0
399;2025;3;30;48322.0
400;2025;3;235;629266.0
401;2025;3;236;250117.0
402;2025;3;245;1753114.0
403;2025;3;261;5975.0
404;2025;3;273;1900898.0
405;2025;3;281;66426.0
406;2025;3;295;118156.0
407;2025;3;31;39132.0
408;2025;3;300;14048.0
409;2025;4;4;2899622.0
410;2025;4;11;18099.0
411;2025;4;12;265578.0
412;2025;4;16;21388.0
413;2025;4;22;6235462.0
414;2025;4;29;822757.0
415;2025;4;30;40559.0
416;2025;4;235;580220.0
417;2025;4;236;806995.0
418;2025;4;245;1926812.0
419;2025;4;261;2551.0
420;2025;4;267;6144.0
421;2025;4;273;1937597.0
422;2025;4;281;90335.0
423;2025;4;295;116627.0
424;2025;4;31;49522.0
425;2025;4;300;82562.0
426;2025;5;4;105134.0
427;2025;5;12;15077.0
428;2025;5;16;2940.0
429;2025;5;21;150240.0
430;2025;5;29;95856.0
431;2025;5;30;4808.0
432;2025;5;235;21953.0
433;2025;5;236;3387.0
434;2025;5;245;107570.0
435;2025;5;259;694.0
436;2025;5;260;258.0
437;2025;5;261;943.0
438;2025;5;273;175870.0
439;2025;5;290;304.0
440;2025;5;295;9571.0
441;2025;6;4;1270443.0
442;2025;6;12;158427.0
443;2025;6;16;8864.0
444;2025;6;21;2188232.0
445;2025;6;29;568016.0
446;2025;6;30;25120.0
447;2025;6;235;309567.0
448;2025;6;236;127388.0
449;2025;6;245;862797.0
450;2025;6;261;2674.0
451;2025;6;267;3096.0
452;2025;6;273;1500661.0
453;2025;6;281;47285.0
454;2025;6;295;79424.0
455;2025;7;4;228031.0
456;2025;7;12;41827.0
457;2025;7;16;1275.0
458;2025;7;21;448655.0
459;2025;7;29;280776.0
460;2025;7;30;4517.0
461;2025;7;235;82443.0
462;2025;7;236;13574.0
463;2025;7;245;416397.0
464;2025;7;261;2173.0
465;2025;7;273;529553.0
466;2025;7;281;9707.0
467;2025;7;295;27468.0
468;2025;8;4;734193.0
469;2025;8;12;107756.0
470;2025;8;16;10167.0
471;2025;8;21;387751.0
472;2025;8;29;267830.0
473;2025;8;235;62017.0
474;2025;8;236;38367.0
475;2025;8;245;91617.0
476;2025;8;261;2131.0
477;2025;8;273;306245.0
478;2025;8;281;21872.0
479;2025;8;295;6350.0
480;2025;9;4;1774888.0
481;2025;9;12;189146.0
482;2025;9;16;10695.0
483;2025;9;21;2966727.0
484;2025;9;29;726497.0
485;2025;9;30;27023.0
486;2025;9;235;353241.0
487;2025;9;236;106011.0
488;2025;9;245;1063307.0
489;2025;9;261;2573.0
490;2025;9;268;10184.0
491;2025;9;267;3346.0
492;2025;9;273;2621672.0
493;2025;9;281;65721.0
494;2025;9;295;70461.0
495;2025;9;31;16599.0
496;2025;10;4;3490183.0
497;2025;10;12;438097.0
498;2025;10;16;30681.0
499;2025;10;21;6737405.0
500;2025;10;29;1591235.0
501;2025;10;30;92589.0
502;2025;10;235;812035.0
503;2025;10;236;166774.0
504;2025;10;245;2531249.0
505;2025;10;260;4427.0
506;2025;10;261;11504.0
507;2025;10;266;19252.0
508;2025;10;273;4741901.0
509;2025;10;281;133453.0
510;2025;10;295;148653.0
511;2025;10;297;9647.0
512;2025;10;31;22207.0
513;2025;11;4;974774.0
514;2025;11;12;159632.0
515;2025;11;16;6440.0
516;2025;11;21;1592155.0
517;2025;11;29;285325.0
518;2025;11;30;12924.0
519;2025;11;235;197384.0
520;2025;11;236;132654.0
521;2025;11;245;461003.0
522;2025;11;261;636.0
523;2025;11;273;1036318.0
524;2025;11;281;42642.0
525;2025;11;295;45234.0
526;2025;11;300;7761.0
527;2025;12;4;608465.0
528;2025;12;12;64728.0
529;2025;12;16;6258.0
530;2025;12;21;1091927.0
531;2025;12;29;261526.0
532;2025;12;30;15758.0
533;2025;12;235;155710.0
534;2025;12;236;38798.0
535;2025;12;245;559245.0
536;2025;12;261;867.0
537;2025;12;273;777174.0
538;2025;12;274;134899.0
539;2025;12;295;39796.0
540;2025;13;4;258278.0
541;2025;13;12;36960.0
542;2025;13;16;1484.0
543;2025;13;21;337868.0
544;2025;13;29;85151.0
545;2025;13;235;46277.0
546;2025;13;236;27898.0
547;2025;13;245;73609.0
548;2025;13;261;856.0
549;2025;13;268;1756.0
550;2025;13;273;309520.0
551;2025;13;281;12247.0
552;2025;13;295;3714.0
553;2025;14;4;1944398.0
554;2025;14;12;311760.0
555;2025;14;16;19125.0
556;2025;14;21;1119884.0
557;2025;14;29;617252.0
558;2025;14;30;25998.0
559;2025;14;235;153208.0
560;2025;14;236;111902.0
561;2025;14;245;296280.0
562;2025;14;261;1885.0
563;2025;14;268;4021.0
564;2025;14;267;3733.0
565;2025;14;273;464475.0
566;2025;14;281;29738.0
567;2025;14;295;25509.0
568;2025;15;4;1011731.0
569;2025;15;12;150328.0
570;2025;15;16;13020.0
571;2025;15;21;569844.0
572;2025;15;29;309614.0
573;2025;15;30;16172.0
574;2025;15;235;78853.0
575;2025;15;236;60814.0
576;2025;15;245;107672.0
577;2025;15;261;2526.0
578;2025;15;273;330480.0
579;2025;15;295;8487.0
580;2025;16;4;1022587.0
581;2025;16;12;221461.0
582;2025;16;16;3608.0
583;2025;16;21;518900.0
584;2025;16;29;410634.0
585;2025;16;235;65410.0
586;2025;16;236;46455.0
587;2025;16;245;92905.0
588;2025;16;261;3513.0
589;2025;16;273;247756.0
590;2025;16;295;7006.0
