PersonID;Year;ConstituencyID;Erststimmen
1;2021;269;38985.0
2;2021;47;19941.0
3;2021;43;39642.0
4;2021;233;4029.0
5;2021;232;14397.0
6;2021;420;49710.0
8;2021;11;19130.0
9;2021;418;202.0
10;2021;281;2246.0
11;2021;165;3120.0
12;2021;275;1183.0
13;2021;167;10617.0
18;2021;238;3596.0
19;2021;321;1202.0
20;2021;226;3460.0
21;2021;187;16132.0
22;2021;221;11005.0
24;2021;150;4070.0
26;2021;58;20679.0
29;2021;243;12557.0
30;2021;261;1554.0
31;2021;281;4587.0
35;2021;241;44538.0
37;2021;397;595.0
38;2021;227;137.0
39;2021;213;571.0
41;2021;73;4710.0
44;2021;54;6811.0
47;2021;167;8469.0
49;2021;317;145.0
51;2021;181;6339.0
52;2021;106;6325.0
55;2021;218;45189.0
56;2021;227;34294.0
57;2021;224;4861.0
58;2021;30;269.0
62;2021;195;13364.0
64;2021;228;40410.0
65;2021;162;3782.0
66;2021;387;3537.0
68;2021;43;4257.0
70;2021;239;10090.0
74;2021;305;2253.0
77;2021;41;22765.0
79;2021;154;33125.0
80;2021;197;51985.0
81;2021;315;1263.0
82;2021;385;8032.0
83;2021;240;11695.0
85;2021;448;3726.0
86;2021;426;43671.0
90;2021;349;2187.0
91;2021;222;31182.0
92;2021;86;2410.0
93;2021;418;43532.0
94;2021;414;12299.0
96;2021;16;23045.0
97;2021;166;2835.0
98;2021;222;2468.0
100;2021;267;50892.0
103;2021;263;14174.0
106;2021;32;4565.0
108;2021;214;47375.0
109;2021;44;2114.0
110;2021;277;26270.0
112;2021;64;24784.0
114;2021;389;4054.0
119;2021;30;175.0
120;2021;301;1821.0
122;2021;420;2380.0
130;2021;357;1443.0
131;2021;223;43730.0
134;2021;428;11015.0
135;2021;165;2340.0
138;2021;405;7411.0
139;2021;250;352.0
141;2021;36;193.0
142;2021;337;12409.0
143;2021;146;157.0
144;2021;118;16557.0
145;2021;56;3979.0
146;2021;2;3811.0
147;2021;24;221.0
152;2021;76;11145.0
155;2021;385;2177.0
156;2021;417;12903.0
158;2021;225;10763.0
161;2021;430;223.0
162;2021;122;1458.0
166;2021;61;168.0
167;2021;28;27104.0
168;2021;110;12098.0
