BridgeID;Year;ConstituencyID;EligibleVoters;TotalVoters
146;2021;375;2318110.0;1790030.0
147;2021;377;2004960.0;1565180.0
148;2021;379;2076720.0;1621620.0
149;2021;381;2033500.0;1548300.0
150;2021;383;1958160.0;1436890.0
151;2021;430;1612790.0;1192060.0
152;2021;432;2241000.0;1676960.0
153;2021;434;2311780.0;1808800.0
154;2021;436;2128530.0;1622830.0
155;2021;438;1970040.0;1493410.0
156;2021;440;2068950.0;1592330.0
157;2021;442;2041050.0;1530570.0
158;2021;444;1997030.0;1541590.0
159;2021;446;2286430.0;1811200.0
160;2021;448;2344320.0;1894090.0
161;2021;450;1938280.0;1477330.0
162;2021;452;1886910.0;1407000.0
163;2021;454;1772110.0;1374230.0
164;2021;456;2109410.0;1617560.0
165;2021;458;1978310.0;1471420.0
166;2021;460;1849730.0;1378160.0
167;2021;169;1840730.0;1381300.0
168;2021;171;2184740.0;1628090.0
169;2021;173;1718860.0;1309050.0
170;2021;175;1859440.0;1414940.0
171;2021;177;1815880.0;1415810.0
172;2021;179;2065320.0;1533840.0
173;2021;181;2175140.0;1619190.0
174;2021;183;2085420.0;1635600.0
175;2021;185;1783070.0;1370700.0
176;2021;187;1798420.0;1440120.0
177;2021;189;1768970.0;1389350.0
178;2021;191;2204660.0;1722470.0
179;2021;193;1867350.0;1362140.0
180;2021;195;1762710.0;1314120.0
181;2021;197;1955140.0;1577180.0
182;2021;199;2012160.0;1450100.0
183;2021;201;2272070.0;1750040.0
184;2021;203;1740820.0;1292610.0
185;2021;205;2195110.0;1580520.0
186;2021;207;2407630.0;1889160.0
187;2021;209;2339010.0;1798300.0
188;2021;211;1977820.0;1531760.0
189;2021;477;2092030.0;1544880.0
190;2021;479;2122670.0;1561130.0
191;2021;481;1986970.0;1541630.0
192;2021;483;1905190.0;1425660.0
193;2021;485;2179440.0;1666040.0
194;2021;487;2295880.0;1681470.0
195;2021;489;2194370.0;1665310.0
196;2021;491;2300710.0;1711080.0
197;2021;385;2381180.0;1818370.0
198;2021;387;1951090.0;1484660.0
199;2021;389;1930350.0;1471270.0
200;2021;391;1711020.0;1347170.0
201;2021;393;1823800.0;1381090.0
202;2021;395;1634930.0;1244490.0
203;2021;397;1905300.0;1471710.0
204;2021;399;2108160.0;1641650.0
205;2021;401;2496300.0;2026700.0
206;2021;403;2129430.0;1666360.0
207;2021;405;2109690.0;1549110.0
208;2021;407;2194160.0;1738280.0
209;2021;409;2247010.0;1692060.0
210;2021;411;1740930.0;1324700.0
211;2021;413;2170000.0;1712590.0
212;2021;76;1686560.0;1294410.0
213;2021;78;2005690.0;1683370.0
214;2021;80;2372500.0;1940020.0
215;2021;82;2319050.0;1927790.0
216;2021;84;2383840.0;1873950.0
217;2021;86;2236830.0;1755510.0
218;2021;88;2425910.0;1939580.0
219;2021;90;2146060.0;1729700.0
220;2021;92;2422520.0;1982720.0
221;2021;94;2349120.0;1993330.0
222;2021;96;2373900.0;1914100.0
223;2021;98;1666620.0;1361060.0
224;2021;100;2148280.0;1809780.0
225;2021;102;2088150.0;1638760.0
226;2021;104;1684730.0;1380390.0
227;2021;106;1661860.0;1271930.0
228;2021;108;2468540.0;1955890.0
229;2021;110;1775630.0;1366250.0
230;2021;112;1736320.0;1338850.0
231;2021;114;1737720.0;1329550.0
232;2021;116;2160710.0;1732970.0
233;2021;118;2481920.0;1989370.0
234;2021;120;2224240.0;1749570.0
235;2021;122;1658070.0;1322470.0
236;2021;124;1825860.0;1486600.0
237;2021;126;1624300.0;1291360.0
238;2021;128;1565710.0;1238640.0
239;2021;130;1628720.0;1253340.0
240;2021;132;1689230.0;1371780.0
241;2021;134;2431740.0;1925080.0
242;2021;136;1872990.0;1553770.0
243;2021;138;2507300.0;1979390.0
244;2021;140;1882830.0;1452120.0
245;2021;142;1773160.0;1295600.0
246;2021;144;2292790.0;1896750.0
247;2021;146;1826520.0;1467720.0
248;2021;148;2140610.0;1741640.0
249;2021;150;1944080.0;1581330.0
250;2021;152;1967100.0;1573570.0
251;2021;154;2249070.0;1856590.0
252;2021;156;2075430.0;1533150.0
253;2021;158;2493720.0;2047370.0
254;2021;160;1957740.0;1570330.0
255;2021;162;2419190.0;1888130.0
256;2021;164;2288030.0;1817550.0
257;2021;165;2505750.0;1986670.0
258;2021;37;1918110.0;1575140.0
259;2021;38;1789580.0;1335880.0
260;2021;39;2455530.0;1953350.0
261;2021;40;1666280.0;1318880.0
262;2021;41;2059670.0;1657770.0
263;2021;42;1771070.0;1356060.0
264;2021;43;2217750.0;1758410.0
265;2021;44;2153120.0;1718430.0
266;2021;45;2307380.0;1866730.0
267;2021;46;2409510.0;1828040.0
268;2021;47;2258740.0;1726870.0
269;2021;48;1770620.0;1364360.0
270;2021;49;2206860.0;1686550.0
271;2021;50;2056080.0;1595910.0
272;2021;51;2091470.0;1679460.0
273;2021;52;2048900.0;1553310.0
274;2021;53;2184310.0;1778680.0
275;2021;54;1968630.0;1421320.0
276;2021;55;2094180.0;1620580.0
277;2021;56;1968820.0;1540850.0
278;2021;57;1957550.0;1522310.0
279;2021;58;2171260.0;1639820.0
280;2021;59;1990920.0;1528630.0
281;2021;60;2243920.0;1809760.0
282;2021;61;2310760.0;1740640.0
283;2021;62;2188720.0;1680040.0
284;2021;63;2058930.0;1567760.0
285;2021;64;1981820.0;1496640.0
286;2021;65;1628000.0;1228620.0
287;2021;66;2060090.0;1575630.0
288;2021;67;1772750.0;1361950.0
289;2021;68;1991890.0;1538200.0
290;2021;69;1987910.0;1608350.0
291;2021;70;2233760.0;1775370.0
292;2021;71;1691470.0;1333450.0
293;2021;72;1744300.0;1378380.0
294;2021;73;1878170.0;1470200.0
295;2021;74;1826480.0;1380840.0
296;2021;425;1929290.0;1426970.0
297;2021;426;2032790.0;1591700.0
298;2021;427;1730740.0;1398080.0
299;2021;428;1859410.0;1422880.0
300;2025;414;2321580.0;1928660.0
301;2025;415;1860190.0;1537550.0
302;2025;416;1758160.0;1465760.0
303;2025;417;2027370.0;1725190.0
304;2025;418;2015040.0;1672050.0
305;2025;419;1737400.0;1436050.0
306;2025;420;2367650.0;2003120.0
307;2025;421;2492130.0;2115500.0
308;2025;422;1811110.0;1507880.0
309;2025;423;2454770.0;2080750.0
310;2025;424;1782450.0;1429990.0
311;2025;218;2128610.0;1718750.0
312;2025;219;2024440.0;1628890.0
313;2025;220;2211580.0;1790990.0
314;2025;221;2370790.0;1864360.0
315;2025;222;2157160.0;1682380.0
316;2025;223;2044740.0;1606130.0
317;2025;212;2439510.0;1894340.0
318;2025;213;1889840.0;1587720.0
319;2025;214;1947240.0;1657110.0
320;2025;215;2221530.0;1902330.0
321;2025;216;2304950.0;1798930.0
322;2025;217;2189530.0;1661910.0
323;2025;224;1898000.0;1557090.0
324;2025;225;2375270.0;1982910.0
325;2025;226;1858630.0;1507810.0
326;2025;227;2293440.0;1941060.0
327;2025;228;2250130.0;1850810.0
328;2025;229;1870760.0;1551760.0
329;2025;230;1978500.0;1671190.0
330;2025;231;2337840.0;1995290.0
331;2025;232;2250990.0;1871740.0
332;2025;233;1940100.0;1620720.0
333;2025;234;1960820.0;1661570.0
334;2025;235;1681090.0;1393930.0
335;2025;236;2026710.0;1751340.0
336;2025;237;1826790.0;1548310.0
337;2025;238;1994800.0;1677410.0
338;2025;239;1922670.0;1615360.0
339;2025;240;1910280.0;1575070.0
340;2025;241;1754190.0;1437590.0
341;2025;242;1897820.0;1590520.0
342;2025;243;2273270.0;1922270.0
343;2025;244;2123440.0;1749100.0
344;2025;245;2169490.0;1838440.0
345;2025;246;1787610.0;1448270.0
346;2025;247;2340550.0;1977600.0
347;2025;248;2111560.0;1766810.0
348;2025;249;1952180.0;1596040.0
349;2025;250;1863560.0;1553790.0
350;2025;251;1762760.0;1418890.0
351;2025;253;1914250.0;1555830.0
352;2025;255;2102010.0;1755440.0
353;2025;166;2398230.0;1947820.0
354;2025;167;2106860.0;1555960.0
355;2025;1;1696480.0;1330670.0
356;2025;2;1801270.0;1421120.0
357;2025;3;2517320.0;2111120.0
358;2025;4;2315970.0;1930320.0
359;2025;5;2018990.0;1611580.0
360;2025;6;2342640.0;2007250.0
361;2025;8;2417170.0;2007760.0
362;2025;9;1879680.0;1497700.0
363;2025;10;1659420.0;1323780.0
364;2025;12;1691890.0;1344860.0
365;2025;462;2279960.0;1784980.0
366;2025;464;2170230.0;1704840.0
367;2025;465;2002170.0;1540720.0
368;2025;466;2229830.0;1744680.0
369;2025;468;2278520.0;1763340.0
370;2025;470;2245520.0;1735870.0
371;2025;472;2035970.0;1573480.0
