BridgeID;Year;ConstituencyID;EligibleVoters;TotalVoters
187;2021;209;233901.0;179830.0
188;2021;211;197782.0;153176.0
189;2021;477;209203.0;154488.0
190;2021;479;212267.0;156113.0
191;2021;481;198697.0;154163.0
192;2021;483;190519.0;142566.0
193;2021;485;217944.0;166604.0
194;2021;487;229588.0;168147.0
195;2021;489;219437.0;166531.0
196;2021;491;230071.0;171108.0
197;2021;385;238118.0;181837.0
198;2021;387;195109.0;148466.0
199;2021;389;193035.0;147127.0
200;2021;391;171102.0;134717.0
201;2021;393;182380.0;138109.0
202;2021;395;163493.0;124449.0
203;2021;397;190530.0;147171.0
204;2021;399;210816.0;164165.0
205;2021;401;249630.0;202670.0
206;2021;403;212943.0;166636.0
207;2021;405;210969.0;154911.0
208;2021;407;219416.0;173828.0
209;2021;409;224701.0;169206.0
210;2021;411;174093.0;132470.0
211;2021;413;217000.0;171259.0
212;2021;76;168656.0;129441.0
213;2021;78;200569.0;168337.0
214;2021;80;237250.0;194002.0
215;2021;82;231905.0;192779.0
216;2021;84;238384.0;187395.0
217;2021;86;223683.0;175551.0
218;2021;88;242591.0;193958.0
219;2021;90;214606.0;172970.0
220;2021;92;242252.0;198272.0
221;2021;94;234912.0;199333.0
222;2021;96;237390.0;191410.0
223;2021;98;166662.0;136106.0
224;2021;100;214828.0;180978.0
225;2021;102;208815.0;163876.0
226;2021;104;168473.0;138039.0
227;2021;106;166186.0;127193.0
228;2021;108;246854.0;195589.0
229;2021;110;177563.0;136625.0
230;2021;112;173632.0;133885.0
231;2021;114;173772.0;132955.0
232;2021;116;216071.0;173297.0
233;2021;118;248192.0;198937.0
234;2021;120;222424.0;174957.0
235;2021;122;165807.0;132247.0
236;2021;124;182586.0;148660.0
237;2021;126;162430.0;129136.0
238;2021;128;156571.0;123864.0
239;2021;130;162872.0;125334.0
240;2021;132;168923.0;137178.0
241;2021;134;243174.0;192508.0
242;2021;136;187299.0;155377.0
243;2021;138;250730.0;197939.0
244;2021;140;188283.0;145212.0
245;2021;142;177316.0;129560.0
246;2021;144;229279.0;189675.0
247;2021;146;182652.0;146772.0
248;2021;148;214061.0;174164.0
249;2021;150;194408.0;158133.0
250;2021;152;196710.0;157357.0
251;2021;154;224907.0;185659.0
252;2021;156;207543.0;153315.0
253;2021;158;249372.0;204737.0
254;2021;160;195774.0;157033.0
255;2021;162;241919.0;188813.0
256;2021;164;228803.0;181755.0
257;2021;165;250575.0;198667.0
258;2021;37;191811.0;157514.0
259;2021;38;178958.0;133588.0
260;2021;39;245553.0;195335.0
261;2021;40;166628.0;131888.0
262;2021;41;205967.0;165777.0
263;2021;42;177107.0;135606.0
264;2021;43;221775.0;175841.0
265;2021;44;215312.0;171843.0
266;2021;45;230738.0;186673.0
267;2021;46;240951.0;182804.0
268;2021;47;225874.0;172687.0
269;2021;48;177062.0;136436.0
270;2021;49;220686.0;168655.0
271;2021;50;205608.0;159591.0
272;2021;51;209147.0;167946.0
273;2021;52;204890.0;155331.0
274;2021;53;218431.0;177868.0
275;2021;54;196863.0;142132.0
276;2021;55;209418.0;162058.0
277;2021;56;196882.0;154085.0
278;2021;57;195755.0;152231.0
279;2021;58;217126.0;163982.0
280;2021;59;199092.0;152863.0
281;2021;60;224392.0;180976.0
282;2021;61;231076.0;174064.0
283;2021;62;218872.0;168004.0
284;2021;63;205893.0;156776.0
285;2021;64;198182.0;149664.0
286;2021;65;162800.0;122862.0
287;2021;66;206009.0;157563.0
288;2021;67;177275.0;136195.0
289;2021;68;199189.0;153820.0
290;2021;69;198791.0;160835.0
291;2021;70;223376.0;177537.0
292;2021;71;169147.0;133345.0
293;2021;72;174430.0;137838.0
294;2021;73;187817.0;147020.0
295;2021;74;182648.0;138084.0
296;2021;425;192929.0;142697.0
297;2021;426;203279.0;159170.0
298;2021;427;173074.0;139808.0
299;2021;428;185941.0;142288.0
300;2025;414;232158.0;192866.0
301;2025;415;186019.0;153755.0
302;2025;416;175816.0;146576.0
303;2025;417;202737.0;172519.0
304;2025;418;201504.0;167205.0
305;2025;419;173740.0;143605.0
306;2025;420;236765.0;200312.0
307;2025;421;249213.0;211550.0
308;2025;422;181111.0;150788.0
309;2025;423;245477.0;208075.0
310;2025;424;178245.0;142999.0
311;2025;218;212861.0;171875.0
312;2025;219;202444.0;162889.0
313;2025;220;221158.0;179099.0
314;2025;221;237079.0;186436.0
315;2025;222;215716.0;168238.0
316;2025;223;204474.0;160613.0
317;2025;212;243951.0;189434.0
318;2025;213;188984.0;158772.0
319;2025;214;194724.0;165711.0
320;2025;215;222153.0;190233.0
321;2025;216;230495.0;179893.0
322;2025;217;218953.0;166191.0
323;2025;224;189800.0;155709.0
324;2025;225;237527.0;198291.0
325;2025;226;185863.0;150781.0
326;2025;227;229344.0;194106.0
327;2025;228;225013.0;185081.0
328;2025;229;187076.0;155176.0
329;2025;230;197850.0;167119.0
330;2025;231;233784.0;199529.0
331;2025;232;225099.0;187174.0
332;2025;233;194010.0;162072.0
333;2025;234;196082.0;166157.0
334;2025;235;168109.0;139393.0
335;2025;236;202671.0;175134.0
336;2025;237;182679.0;154831.0
337;2025;238;199480.0;167741.0
338;2025;239;192267.0;161536.0
339;2025;240;191028.0;157507.0
340;2025;241;175419.0;143759.0
341;2025;242;189782.0;159052.0
342;2025;243;227327.0;192227.0
343;2025;244;212344.0;174910.0
344;2025;245;216949.0;183844.0
345;2025;246;178761.0;144827.0
346;2025;247;234055.0;197760.0
347;2025;248;211156.0;176681.0
348;2025;249;195218.0;159604.0
349;2025;250;186356.0;155379.0
350;2025;251;176276.0;141889.0
351;2025;253;191425.0;155583.0
352;2025;255;210201.0;175544.0
353;2025;166;239823.0;194782.0
354;2025;167;210686.0;155596.0
355;2025;1;169648.0;133067.0
356;2025;2;180127.0;142112.0
357;2025;3;251732.0;211112.0
358;2025;4;231597.0;193032.0
359;2025;5;201899.0;161158.0
360;2025;6;234264.0;200725.0
361;2025;8;241717.0;200776.0
362;2025;9;187968.0;149770.0
363;2025;10;165942.0;132378.0
364;2025;12;169189.0;134486.0
365;2025;462;227996.0;178498.0
366;2025;464;217023.0;170484.0
367;2025;465;200217.0;154072.0
368;2025;466;222983.0;174468.0
369;2025;468;227852.0;176334.0
370;2025;470;224552.0;173587.0
371;2025;472;203597.0;157348.0
372;2025;474;210496.0;163262.0
373;2025;13;207445.0;161873.0
374;2025;15;235392.0;199071.0
375;2025;17;172428.0;134144.0
376;2025;19;176535.0;133252.0
377;2025;21;214757.0;181872.0
378;2025;23;195504.0;162302.0
379;2025;25;229228.0;186814.0
380;2025;27;192506.0;146235.0
381;2025;29;218729.0;180876.0
382;2025;31;206841.0;169813.0
383;2025;33;195867.0;149485.0
384;2025;35;196799.0;155424.0
385;2025;256;172442.0;143849.0
386;2025;258;224835.0;182360.0
387;2025;260;192359.0;157147.0
388;2025;262;199302.0;164549.0
389;2025;264;247391.0;207174.0
390;2025;266;248663.0;207633.0
391;2025;268;190951.0;153110.0
392;2025;270;243912.0;214600.0
393;2025;272;206670.0;169135.0
394;2025;274;228611.0;193693.0
395;2025;276;238117.0;199363.0
396;2025;278;214269.0;183170.0
397;2025;280;204344.0;169836.0
398;2025;282;214554.0;184451.0
399;2025;284;206279.0;165364.0
400;2025;286;196546.0;152965.0
401;2025;288;216618.0;173656.0
402;2025;290;200861.0;167725.0
403;2025;292;156872.0;129858.0
404;2025;294;224440.0;187087.0
405;2025;296;188871.0;151917.0
406;2025;298;210819.0;173213.0
407;2025;300;181209.0;140093.0
408;2025;302;196586.0;164175.0
409;2025;304;223737.0;185888.0
410;2025;306;223650.0;182410.0
411;2025;308;204087.0;170462.0
412;2025;310;173314.0;140198.0
413;2025;312;159961.0;127170.0
414;2025;314;152391.0;111932.0
415;2025;316;193877.0;155814.0
416;2025;318;177448.0;145635.0
417;2025;320;152295.0;114166.0
418;2025;322;186492.0;157665.0
419;2025;324;161611.0;129041.0
420;2025;326;182424.0;147467.0
421;2025;328;164673.0;122676.0
422;2025;330;201685.0;168635.0
423;2025;332;195336.0;157954.0
424;2025;334;200973.0;172539.0
425;2025;336;194072.0;169789.0
426;2025;338;194165.0;165587.0
427;2025;340;237654.0;208022.0
428;2025;342;207690.0;175965.0
429;2025;344;232757.0;192682.0
430;2025;346;240475.0;197039.0
431;2025;348;223060.0;181749.0
432;2025;350;199147.0;163424.0
433;2025;352;221602.0;182679.0
434;2025;354;169491.0;141965.0
435;2025;356;231585.0;192379.0
436;2025;358;195955.0;153869.0
437;2025;360;170960.0;142860.0
438;2025;362;200128.0;163515.0
439;2025;364;170434.0;132194.0
440;2025;366;203655.0;165438.0
441;2025;368;195508.0;154308.0
442;2025;370;190511.0;157471.0
443;2025;372;227725.0;181960.0
444;2025;374;229384.0;190495.0
445;2025;376;196716.0;165047.0
446;2025;378;202346.0;168209.0
447;2025;380;198265.0;163342.0
448;2025;382;191152.0;153121.0
449;2025;429;158368.0;126905.0
450;2025;431;225020.0;183932.0
451;2025;433;232750.0;195980.0
452;2025;435;210913.0;172195.0
453;2025;437;192750.0;157183.0
454;2025;439;200548.0;161811.0
455;2025;441;196271.0;155052.0
456;2025;443;195873.0;160400.0
457;2025;445;225103.0;184922.0
458;2025;447;233493.0;196333.0
459;2025;449;187924.0;148354.0
460;2025;451;183295.0;144921.0
461;2025;453;171911.0;140053.0
462;2025;455;202995.0;164324.0
463;2025;457;189565.0;150837.0
464;2025;459;177440.0;141582.0
465;2025;168;180475.0;150103.0
466;2025;170;214132.0;175151.0
467;2025;172;167770.0;138613.0
468;2025;174;182432.0;153583.0
469;2025;176;179871.0;152351.0
470;2025;178;203566.0;166096.0
471;2025;180;215142.0;178691.0
472;2025;182;206544.0;174967.0
473;2025;184;175443.0;146919.0
474;2025;186;178433.0;152705.0
475;2025;188;176890.0;149797.0
476;2025;190;217091.0;182786.0
477;2025;192;186038.0;148191.0
478;2025;194;175251.0;143473.0
479;2025;196;193390.0;165897.0
480;2025;198;203423.0;160181.0
481;2025;200;231104.0;191699.0
482;2025;202;172337.0;140681.0
483;2025;204;218352.0;174370.0
484;2025;206;239490.0;203008.0
485;2025;208;230672.0;194828.0
486;2025;210;195418.0;164913.0
487;2025;476;206488.0;165874.0
488;2025;478;201182.0;159953.0
489;2025;480;194207.0;161207.0
490;2025;482;184294.0;147985.0
491;2025;484;214387.0;176031.0
492;2025;486;220281.0;173712.0
493;2025;488;211549.0;172601.0
494;2025;490;219979.0;176252.0
495;2025;384;236097.0;194327.0
496;2025;386;191196.0;159654.0
497;2025;388;189619.0;155945.0
498;2025;390;168634.0;142280.0
499;2025;392;179528.0;146442.0
500;2025;394;161723.0;134564.0
501;2025;396;187536.0;156858.0
502;2025;398;209489.0;174499.0
503;2025;400;251092.0;214604.0
504;2025;402;211985.0;178231.0
505;2025;404;205998.0;163106.0
506;2025;406;217120.0;182171.0
507;2025;408;219832.0;179200.0
508;2025;410;167724.0;139067.0
509;2025;412;216108.0;179904.0
510;2025;75;167997.0;137711.0
511;2025;77;201032.0;175170.0
512;2025;79;238346.0;205009.0
513;2025;81;230186.0;199419.0
514;2025;83;235847.0;196036.0
515;2025;85;223690.0;185755.0
516;2025;87;243727.0;204779.0
517;2025;89;214876.0;181033.0
518;2025;91;246546.0;210770.0
519;2025;93;233438.0;205557.0
520;2025;95;238400.0;201569.0
521;2025;97;165905.0;141866.0
522;2025;99;214841.0;188348.0
