GebietLandAbk;GruppennameKurz;Anzahl
BB;AfD;1101005.0
BB;BSW;176187.0
BB;BÜNDNIS DEUTSCHLAND;7897.0
BB;CDU;630265.0
BB;Die Linke;365402.0
BB;Die PARTEI;30144.0
BB;FDP;97919.0
BB;FREIE WÄHLER;76971.0
BB;GRÜNE;194580.0
BB;MLPD;1118.0
BB;SPD;580961.0
BB;Volt;22057.0
BE;AfD;591529.0
BE;BSW;171144.0
BE;BÜNDNIS DEUTSCHLAND;10652.0
BE;BüSo;2022.0
BE;CDU;769954.0
BE;Die Linke;810631.0
BE;Die PARTEI;21258.0
BE;FDP;126726.0
BE;FREIE WÄHLER;15553.0
BE;GRÜNE;666231.0
BE;MERA25;3101.0
BE;MLPD;2159.0
BE;PdF;3407.0
BE;SGP;498.0
BE;SPD;621817.0
BE;Tierschutzpartei;45091.0
BE;Volt;18210.0
BW;AfD;2487325.0
BW;BSW;259788.0
BW;BÜNDNIS DEUTSCHLAND;12564.0
BW;Bündnis C;13805.0
BW;CDU;4286860.0
BW;Die Linke;789464.0
BW;Die PARTEI;48322.0
BW;FDP;629266.0
BW;FREIE WÄHLER;250117.0
BW;GRÜNE;1753114.0
BW;MLPD;5975.0
BW;SPD;1900898.0
BW;Tierschutzpartei;66426.0
BW;Volt;118156.0
BW;dieBasis;39132.0
BW;ÖDP;14048.0
BY;AfD;2899622.0
BY;BP;18099.0
BY;BSW;265578.0
BY;BÜNDNIS DEUTSCHLAND;21388.0
BY;CSU;6235462.0
BY;Die Linke;822757.0
BY;Die PARTEI;40559.0
BY;FDP;580220.0
BY;FREIE WÄHLER;806995.0
BY;GRÜNE;1926812.0
BY;MLPD;2551.0
BY;PdH;6144.0
BY;SPD;1937597.0
BY;Tierschutzpartei;90335.0
BY;Volt;116627.0
BY;dieBasis;49522.0
BY;ÖDP;82562.0
HB;AfD;105134.0
HB;BSW;15077.0
HB;BÜNDNIS DEUTSCHLAND;2940.0
HB;CDU;150240.0
HB;Die Linke;95856.0
HB;Die PARTEI;4808.0
HB;FDP;21953.0
HB;FREIE WÄHLER;3387.0
HB;GRÜNE;107570.0
HB;MENSCHLICHE WELT;694.0
HB;MERA25;258.0
HB;MLPD;943.0
HB;SPD;175870.0
HB;Verjüngungsforschung;304.0
HB;Volt;9571.0
HE;AfD;1270443.0
HE;BSW;158427.0
HE;BÜNDNIS DEUTSCHLAND;8864.0
HE;CDU;2188232.0
HE;Die Linke;568016.0
HE;Die PARTEI;25120.0
HE;FDP;309567.0
HE;FREIE WÄHLER;127388.0
HE;GRÜNE;862797.0
HE;MLPD;2674.0
HE;PdH;3096.0
HE;SPD;1500661.0
HE;Tierschutzpartei;47285.0
HE;Volt;79424.0
HH;AfD;228031.0
HH;BSW;41827.0
HH;BÜNDNIS DEUTSCHLAND;1275.0
HH;CDU;448655.0
HH;Die Linke;280776.0
HH;Die PARTEI;4517.0
HH;FDP;82443.0
HH;FREIE WÄHLER;13574.0
HH;GRÜNE;416397.0
HH;MLPD;2173.0
HH;SPD;529553.0
HH;Tierschutzpartei;9707.0
HH;Volt;27468.0
MV;AfD;734193.0
MV;BSW;107756.0
MV;BÜNDNIS DEUTSCHLAND;10167.0
MV;CDU;387751.0
MV;Die Linke;267830.0
MV;FDP;62017.0
MV;FREIE WÄHLER;38367.0
MV;GRÜNE;91617.0
MV;MLPD;2131.0
MV;SPD;306245.0
MV;Tierschutzpartei;21872.0
MV;Volt;6350.0
NI;AfD;1774888.0
NI;BSW;189146.0
NI;BÜNDNIS DEUTSCHLAND;10695.0
NI;CDU;2966727.0
NI;Die Linke;726497.0
NI;Die PARTEI;27023.0
NI;FDP;353241.0
NI;FREIE WÄHLER;106011.0
NI;GRÜNE;1063307.0
NI;MLPD;2573.0
NI;PIRATEN;10184.0
NI;PdH;3346.0
NI;SPD;2621672.0
NI;Tierschutzpartei;65721.0
NI;Volt;70461.0
NI;dieBasis;16599.0
NW;AfD;3490183.0
NW;BSW;438097.0
NW;BÜNDNIS DEUTSCHLAND;30681.0
NW;CDU;6737405.0
NW;Die Linke;1591235.0
NW;Die PARTEI;92589.0
NW;FDP;812035.0
NW;FREIE WÄHLER;166774.0
NW;GRÜNE;2531249.0
NW;MERA25;4427.0
NW;MLPD;11504.0
NW;PdF;19252.0
NW;SPD;4741901.0
NW;Tierschutzpartei;133453.0
NW;Volt;148653.0
NW;WerteUnion;9647.0
NW;dieBasis;22207.0
RP;AfD;974774.0
RP;BSW;159632.0
RP;BÜNDNIS DEUTSCHLAND;6440.0
RP;CDU;1592155.0
RP;Die Linke;285325.0
RP;Die PARTEI;12924.0
RP;FDP;197384.0
RP;FREIE WÄHLER;132654.0
RP;GRÜNE;461003.0
RP;MLPD;636.0
RP;SPD;1036318.0
RP;Tierschutzpartei;42642.0
RP;Volt;45234.0
RP;ÖDP;7761.0
SH;AfD;608465.0
SH;BSW;64728.0
SH;BÜNDNIS DEUTSCHLAND;6258.0
SH;CDU;1091927.0
SH;Die Linke;261526.0
SH;Die PARTEI;15758.0
SH;FDP;155710.0
SH;FREIE WÄHLER;38798.0
SH;GRÜNE;559245.0
SH;MLPD;867.0
SH;SPD;777174.0
SH;SSW;134899.0
SH;Volt;39796.0
SL;AfD;258278.0
SL;BSW;36960.0
SL;BÜNDNIS DEUTSCHLAND;1484.0
SL;CDU;337868.0
SL;Die Linke;85151.0
SL;FDP;46277.0
SL;FREIE WÄHLER;27898.0
SL;GRÜNE;73609.0
SL;MLPD;856.0
SL;PIRATEN;1756.0
SL;SPD;309520.0
SL;Tierschutzpartei;12247.0
SL;Volt;3714.0
SN;AfD;1944398.0
SN;BSW;311760.0
SN;BÜNDNIS DEUTSCHLAND;19125.0
SN;CDU;1119884.0
SN;Die Linke;617252.0
SN;Die PARTEI;25998.0
SN;FDP;153208.0
SN;FREIE WÄHLER;111902.0
SN;GRÜNE;296280.0
SN;MLPD;1885.0
SN;PIRATEN;4021.0
