GebietLandAbk;GruppennameKurz;Anzahl
SN;PdH;3733.0
SN;SPD;464475.0
SN;Tierschutzpartei;29738.0
SN;Volt;25509.0
ST;AfD;1011731.0
ST;BSW;150328.0
ST;BÜNDNIS DEUTSCHLAND;13020.0
ST;CDU;569844.0
ST;Die Linke;309614.0
ST;Die PARTEI;16172.0
ST;FDP;78853.0
ST;FREIE WÄHLER;60814.0
ST;GRÜNE;107672.0
ST;MLPD;2526.0
ST;SPD;330480.0
ST;Volt;8487.0
TH;AfD;1022587.0
TH;BSW;221461.0
TH;BÜNDNIS DEUTSCHLAND;3608.0
TH;CDU;518900.0
TH;Die Linke;410634.0
TH;FDP;65410.0
TH;FREIE WÄHLER;46455.0
TH;GRÜNE;92905.0
TH;MLPD;3513.0
TH;SPD;247756.0
TH;Volt;7006.0
