GebietLandAbk;GruppennameKurz;Anzahl
HB;dieBasis;7468.0
BB;ÖDP;7334.0
NW;V-Partei³;7082.0
BW;Gesundheitsforschung;7059.0
HB;Tierschutzpartei;6957.0
SN;Volt;6674.0
BE;Gesundheitsforschung;6626.0
HB;FREIE WÄHLER;6563.0
TH;MLPD;6445.0
MV;NPD;6400.0
SN;Die Humanisten;6235.0
SN;Team Todenhöfer;6229.0
BY;NPD;6190.0
BY;Bündnis C;6040.0
BW;NPD;6036.0
BE;ÖDP;6013.0
BW;MLPD;5789.0
HE;Bündnis C;5765.0
HH;ÖDP;5682.0
SH;Volt;5588.0
SL;ÖDP;5403.0
SH;Team Todenhöfer;5305.0
BB;Volt;5297.0
NI;ÖDP;5195.0
TH;ÖDP;5171.0
BY;du.;4993.0
HE;Gesundheitsforschung;4891.0
BB;NPD;4868.0
NW;DKP;4841.0
SN;III. Weg;4803.0
NW;du.;4729.0
BE;Die Humanisten;4577.0
HE;NPD;4511.0
NI;NPD;4379.0
TH;NPD;4103.0
NI;Die Humanisten;4093.0
ST;PIRATEN;4067.0
HE;Die Humanisten;4023.0
SL;Volt;4019.0
BW;KlimalisteBW;3967.0
NI;V-Partei³;3913.0
BB;DKP;3763.0
HE;ÖDP;3683.0
BY;LKR;3667.0
SN;V-Partei³;3606.0
TH;Volt;3566.0
BY;III. Weg;3544.0
SL;PIRATEN;3419.0
TH;MENSCHLICHE WELT;3400.0
NW;LKR;3362.0
BB;Team Todenhöfer;3353.0
NW;PdF;3228.0
HE;V-Partei³;3128.0
NI;LKR;3113.0
HB;Team Todenhöfer;3014.0
ST;NPD;3002.0
BE;du.;2977.0
RP;NPD;2779.0
RP;Die Humanisten;2770.0
BE;LKR;2720.0
SN;MLPD;2643.0
NI;du.;2625.0
BY;MLPD;2509.0
HB;Volt;2504.0
TH;Team Todenhöfer;2501.0
BB;Die Humanisten;2350.0
SH;V-Partei³;2344.0
SL;Team Todenhöfer;2281.0
RP;V-Partei³;2202.0
BE;DKP;2155.0
MV;Team Todenhöfer;2146.0
ST;Volt;2097.0
BW;LKR;2086.0
SH;NPD;2034.0
BE;NPD;1980.0
MV;MLPD;1979.0
BW;BÜNDNIS21;1936.0
MV;Volt;1904.0
HE;MLPD;1875.0
BE;MLPD;1850.0
BB;FAMILIE;1817.0
RP;DiB;1796.0
SN;LKR;1795.0
SH;LKR;1766.0
SH;Die Humanisten;1763.0
SH;du.;1756.0
SN;DKP;1725.0
ST;MLPD;1662.0
RP;LKR;1617.0
HB;Die Humanisten;1605.0
NI;MLPD;1558.0
NI;DKP;1543.0
SH;ÖDP;1539.0
HE;DKP;1527.0
ST;Die Humanisten;1415.0
SL;NPD;1375.0
TH;Die Humanisten;1357.0
HH;du.;1341.0
HE;BÜNDNIS21;1338.0
HH;MLPD;1310.0
ST;du.;1302.0
BE;V-Partei³;1299.0
HH;NPD;1291.0
BY;DKP;1288.0
MV;Die Humanisten;1277.0
HH;V-Partei³;1219.0
HH;Die Humanisten;1203.0
MV;ÖDP;1189.0
ST;ÖDP;1148.0
BB;MLPD;1146.0
RP;UNABHÄNGIGE;1140.0
HB;V-Partei³;1124.0
HB;ÖDP;1120.0
BW;DKP;1107.0
NW;Volksabstimmung;1086.0
TH;V-Partei³;1052.0
HE;LKR;1035.0
NW;UNABHÄNGIGE;1020.0
MV;UNABHÄNGIGE;1019.0
NW;SGP;971.0
TH;Graue Panther;961.0
HE;UNABHÄNGIGE;951.0
HB;PIRATEN;908.0
SH;DKP;842.0
MV;DKP;754.0
BE;BüSo;727.0
RP;MLPD;626.0
SH;MLPD;587.0
SL;MLPD;558.0
BW;V-Partei³;550.0
TH;THP;549.0
HH;DKP;532.0
BE;SGP;446.0
HH;LKR;427.0
HB;MLPD;426.0
BY;BüSo;416.0
HB;MENSCHLICHE WELT;386.0
HH;BÜNDNIS21;386.0
BW;MENSCHLICHE WELT;351.0
TH;LKR;338.0
BE;MENSCHLICHE WELT;305.0
RP;DKP;294.0
HB;NPD;291.0
BE;sonstige;256.0
BE;B*;222.0
SN;BüSo;210.0
BE;BÜNDNIS21;205.0
HE;BüSo;123.0
BW;BüSo;62.0
