BridgeID;ValidFirst;ValidSecond;PartyFirstVotes;FirstDiff
9;141791.0;141966.0;142180.0;389.0
11;129875.0;130237.0;130095.0;220.0
13;144046.0;144104.0;146627.0;2581.0
16;150668.0;151038.0;151177.0;509.0
18;178198.0;178555.0;178762.0;564.0
19;151883.0;152095.0;152042.0;159.0
24;135561.0;136194.0;135673.0;112.0
25;173747.0;174276.0;173906.0;159.0
33;145494.0;145972.0;146221.0;727.0
37;137637.0;138106.0;137708.0;71.0
40;141647.0;141792.0;141869.0;222.0
43;173117.0;172702.0;173183.0;66.0
44;156634.0;156830.0;156690.0;56.0
45;165024.0;164830.0;165151.0;127.0
47;179548.0;179092.0;179598.0;50.0
48;160009.0;159778.0;160240.0;231.0
49;145424.0;145722.0;145777.0;353.0
50;139553.0;139294.0;141186.0;1633.0
51;129048.0;129204.0;129796.0;748.0
52;142067.0;142315.0;142125.0;58.0
56;120837.0;121008.0;121630.0;793.0
57;129150.0;129246.0;130921.0;1771.0
59;174209.0;174498.0;177346.0;3137.0
60;145379.0;145579.0;146812.0;1433.0
61;188845.0;188885.0;190582.0;1737.0
62;191513.0;191730.0;192830.0;1317.0
63;140441.0;140590.0;141516.0;1075.0
65;118283.0;118464.0;118639.0;356.0
66;107580.0;107744.0;108529.0;949.0
68;136844.0;137050.0;137116.0;272.0
69;155292.0;155384.0;158386.0;3094.0
70;113819.0;113969.0;114586.0;767.0
71;137196.0;137446.0;138202.0;1006.0
75;150210.0;150419.0;150426.0;216.0
78;123157.0;123529.0;123339.0;182.0
80;153806.0;153783.0;153946.0;140.0
82;136545.0;137011.0;137000.0;455.0
83;170367.0;170641.0;170807.0;440.0
87;138913.0;139293.0;139445.0;532.0
93;139804.0;140080.0;140065.0;261.0
95;154135.0;154402.0;154394.0;259.0
101;152760.0;153000.0;153172.0;412.0
103;161969.0;162218.0;163039.0;1070.0
104;157896.0;158308.0;159553.0;1657.0
105;122597.0;122892.0;122778.0;181.0
106;173948.0;174303.0;174371.0;423.0
108;160562.0;160966.0;160682.0;120.0
115;117280.0;117594.0;118012.0;732.0
116;96809.0;97166.0;97253.0;444.0
118;138155.0;138589.0;140398.0;2243.0
123;111084.0;111284.0;111403.0;319.0
128;154343.0;154532.0;155076.0;733.0
129;195295.0;195456.0;195525.0;230.0
130;164365.0;164622.0;165074.0;709.0
131;178122.0;178348.0;178428.0;306.0
133;168818.0;169056.0;170052.0;1234.0
138;143100.0;143609.0;143909.0;809.0
142;154716.0;154874.0;155592.0;876.0
144;146761.0;146936.0;147296.0;535.0
148;160826.0;160998.0;160875.0;49.0
151;117665.0;117757.0;119000.0;1335.0
152;166127.0;166419.0;168009.0;1882.0
153;179459.0;179837.0;179623.0;164.0
154;160241.0;160447.0;160760.0;519.0
157;150823.0;150993.0;151090.0;267.0
158;152039.0;152154.0;159770.0;7731.0
159;179543.0;179726.0;180774.0;1231.0
160;187760.0;188005.0;191480.0;3720.0
162;139329.0;139579.0;140510.0;1181.0
164;159495.0;159635.0;159983.0;488.0
165;145288.0;145546.0;145433.0;145.0
166;135751.0;136143.0;136028.0;277.0
167;135990.0;136043.0;136857.0;867.0
168;160596.0;160829.0;161099.0;503.0
169;129040.0;129026.0;129147.0;107.0
170;139254.0;139171.0;139689.0;435.0
171;140078.0;140269.0;140452.0;374.0
172;151045.0;151400.0;151304.0;259.0
174;161665.0;161704.0;162185.0;520.0
178;169980.0;170482.0;170441.0;461.0
180;129376.0;129652.0;130209.0;833.0
186;186454.0;187028.0;187098.0;644.0
187;176810.0;177126.0;177083.0;273.0
188;151250.0;151443.0;151635.0;385.0
194;165630.0;166043.0;169753.0;4123.0
196;168962.0;169125.0;169333.0;371.0
197;179779.0;180293.0;179973.0;194.0
198;146605.0;147087.0;147061.0;456.0
199;145312.0;145903.0;145721.0;409.0
200;132369.0;133262.0;132618.0;249.0
201;136101.0;136658.0;136463.0;362.0
203;145433.0;145631.0;146257.0;824.0
204;161993.0;162711.0;162329.0;336.0
205;200001.0;201288.0;202155.0;2154.0
206;164145.0;164822.0;164698.0;553.0
207;152789.0;153258.0;154432.0;1643.0
208;171650.0;172322.0;172452.0;802.0
209;166797.0;167464.0;167364.0;567.0
210;130466.0;130723.0;130629.0;163.0
211;169632.0;169676.0;170425.0;793.0
217;174671.0;174902.0;174908.0;237.0
218;193052.0;193271.0;194702.0;1650.0
220;197317.0;197625.0;197699.0;382.0
225;162594.0;163059.0;162923.0;329.0
226;136595.0;137160.0;137561.0;966.0
228;193950.0;194766.0;195411.0;1461.0
231;132078.0;132243.0;132664.0;586.0
232;171997.0;172358.0;174135.0;2138.0
233;197712.0;198175.0;198096.0;384.0
235;131424.0;131356.0;141531.0;10107.0
236;147795.0;148068.0;147909.0;114.0
239;124455.0;124559.0;124554.0;99.0
242;154431.0;154708.0;155017.0;586.0
244;144206.0;144486.0;144405.0;199.0
246;188283.0;188730.0;188714.0;431.0
247;145538.0;145720.0;145889.0;351.0
248;172540.0;173105.0;172911.0;371.0
251;183504.0;184702.0;185388.0;1884.0
252;152311.0;152460.0;153130.0;819.0
253;203087.0;203667.0;203222.0;135.0
255;187334.0;187714.0;187777.0;443.0
256;180138.0;180741.0;180582.0;444.0
258;156682.0;156838.0;156708.0;26.0
259;132464.0;132696.0;132837.0;373.0
260;193794.0;194114.0;194723.0;929.0
265;170543.0;170842.0;171058.0;515.0
266;185051.0;185436.0;185361.0;310.0
272;166259.0;166633.0;166807.0;548.0
273;153595.0;153800.0;153670.0;75.0
277;152497.0;152682.0;153318.0;821.0
278;150203.0;150776.0;151625.0;1422.0
279;162541.0;162617.0;162590.0;49.0
287;156286.0;156400.0;156685.0;399.0
293;136755.0;136848.0;136858.0;103.0
296;140398.0;140474.0;140697.0;299.0
