Year;StateID;PartyID;NewVoteCount;ShortName;LongName
2021;4;267;6689.0;PdH;Partei der Humanisten - Fakten, Freiheit, Fortschritt
2021;4;268;25865.0;PIRATEN;Piratenpartei Deutschland
2021;4;273;1361242.0;SPD;Sozialdemokratische Partei Deutschlands
2021;4;281;80911.0;Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ
2021;4;286;13623.0;UNABHÄNGIGE;UNABHÄNGIGE für bürgernahe Demokratie
2021;4;287;8331.0;V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer
2021;4;290;8524.0;Verjüngungsforschung;Partei für Verjüngungsforschung
2021;4;295;21434.0;Volt;Volt Deutschland
2021;4;300;51124.0;ÖDP;Ökologisch-Demokratische Partei
2021;5;4;22575.0;AfD;Alternative für Deutschland
2021;5;21;56499.0;CDU;Christlich Demokratische Union Deutschlands
2021;5;27;3014.0;Die Gerechtigkeitspartei - Team Todenhöfer;Die Gerechtigkeitspartei - Team Todenhöfer
2021;5;29;25352.0;Die Linke;Die Linke
2021;5;30;3909.0;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative
2021;5;31;3461.0;dieBasis;Basisdemokratische Partei Deutschland
2021;5;235;30481.0;FDP;Freie Demokratische Partei
2021;5;236;2911.0;FREIE WÄHLER;FREIE WÄHLER
2021;5;245;68427.0;GRÜNE;BÜNDNIS 90/DIE GRÜNEN
2021;5;259;386.0;MENSCHLICHE WELT;Menschliche Welt - für das Wohl und Glücklichsein aller
2021;5;261;160.0;MLPD;Marxistisch-Leninistische Partei Deutschlands
2021;5;262;291.0;NPD;Nationaldemokratische Partei Deutschlands
2021;5;267;589.0;PdH;Partei der Humanisten - Fakten, Freiheit, Fortschritt
2021;5;273;103224.0;SPD;Sozialdemokratische Partei Deutschlands
2021;5;281;4517.0;Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ
2021;5;287;515.0;V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer
2021;5;295;1322.0;Volt;Volt Deutschland
2021;5;300;407.0;ÖDP;Ökologisch-Demokratische Partei
2021;6;4;290978.0;AfD;Alternative für Deutschland
2021;6;15;4412.0;Bündnis C;Bündnis C - Christen für Deutschland
2021;6;17;1166.0;BÜNDNIS21;diePinken/BÜNDNIS21
